text,target
اليوم نعرفو واش عندنا منتخب قوي ولا غير اشاعة الكامرون اختبار حقيقي بالتوفيق للمنتخب,1
بصحتك رد بالك راه مزال فيها شهرين,1
راك عزيزة وغالية والله ,1
شكرا للمنتخب الوطني فرجتونا,1
مكتميزش بين ضربة جزاء وتسلل وتنتقد المدرب الزمر هدا,0
رونالدو كون راجل ومتنكرش العشرة خيرنا سابق,1
اختي راه الكبت والجهل راه كينتجو الوحوش البشرية,0
لايهم الخسارة جزء من اللعبة والمهم اللاعبين يراكموا التجربة ونستافدو من هاد المونديال للاستحقاقات قادمة برافو المغرب رغم الخسارة رغم كل شيء,1
راه حتى التعادل زوين خصوصا الى ربحنا,1
ضحكتني الله امسخك ,1
برامج رمضان عندما يغيب المعنى يصبح الكوميدي مهرجا تعواج الفم ماشي فن,0
البركة فراسك الله يرحمها ووسع عليها,1
واحد التلميذ قالوا الأستاذ جيب ولي أمرك خرج لقي واحد لمرة كبيرة رغبها تدخلوا مشى عند الأستاذ قالو هالواليدة ديالي صدقات هديك لمرة خالت الأستاذ شدو الأستاذ وعلقوا فالباب,1
وحتى هاديك ضربة جزاء ياك البطولات العربية فيها بزاف ديال التخربيق,0
صافي انا مرضت مقديتش نتحرك من بلاصتي نشف لية لدم فركابية وبزاف امي فتيحة حرقات راسها وهدا طحنوه فالماكينة,0
اتمنى لك التوفيق الشاف,1
خلي هذا التوقع للتاريخ هذه السنة لديهم فريق شاب ومتحفز ومدرب خبير,1
شرف لي نتلاقى بعلاء الظرافات حوار شيق داز معاه تسناوني قريبا على شوف تيڤي ,1
شكرا خويا هشام على الإستظافة القادم احلى ,1
حبابي تسناوني غدا على ميدراديو مع الإعلامي هشام شبطيط على الساعة التاسعة مساء ,1
حبابي كنموت عليكم بغيتكم تبانو كاملين هنا الجيش المهذب ,1
وصلاتني هاد الحلوى هدية من عند شكرا بزاف وتبارك الله عليك ساندوها و لي بغاها تصاوب ليه شحاجة دخلو عندها ,1
أجمل إحساس فاش كنغني فأي بلاصة وتيجيو يتصورو معايا الناس الزوينين كنبغيكم بزاف وكنموت عليكم خليكم فجنبي حبابي ,1
هاي نهاركم مبروك وسلامي لهاد الفن الجميل لي كيكون فالشارع تحياتي الخالصة نسرين كتسلم عليكم ,1
انت خويا خويا بوگوص سمعو الأغنية كاملة كنتمنى تعجبكم,1
هاد السيد كنقدرو و كنحتارمو على الخدمة ديالو بالنسبة ليا من أحسن الناس لي كيديرو الحلاقة و الموضة زوروه وماغاديش تندمو شكرا جمال أكبر تحية ليك ,1
الموسيقى لاقاتني بناس زوينين و خايبين ناس كيبغيو ليا الخير وناس كيبغيو يطيحوني ناس كيشجعوني وناس كيحاربوني ولهذا كنبغي نقوليكم كنحبكم و كنموت عليكم خليكم معايا يا أغلى الناس ,1
أحسن رفيسة عمية بطريقة لالة زهرة,1
سلام وجوه الخير هاد الأغنية كنهديها لوليدات مدينة الجديدة لي ماتو الله يرحمهم وجمهور الدفاع الحسني الجديدي تحية ,1
هادشي لي مخليني نكمل ونتقاتل باش نوصل داكشي لي بغيت شكرا بزاف الحبيب كلام زوين فحقي صراحة دموعي بغاو يهبطو فاش سمعتو كملو المساندة ديالكم ليا عام ديال الكفاح و مازال أحبكم,1
الحمد لله كاين ناس زوينين كايبغيوني كنبغيكم بزاف والقادة أحلى حبابي ,1
أول فنان مغربي يغني لأطفال الشوارع سمعو لميمة شنو قالت ليا,1
عمري فحياتي ننسا هاد النهار كانطلب المساعدة,0
حبابي أنا رجعت للإنتاج من بعد عامين كيف كتعرفو الموسيقى بوحدها فالمغرب منقدروش نعيشو بيها فلهذا إلا حتاجيتو أي حاجة فالسمعي البصري مرحبا بيكم تاصلو بيا أنا رهن إشارتكم ,1
الحمد لله كلشي داز مزيان كان جمهور فالمستوى شكرا ليكم بزاف على تشجيعاتكم شكرا لأعضاء الجمعية كااملين شكرا طارق أحرار رئيس الجمعية شكرا الأمن اكبر تحية ليكم كنبغيكم حبابي ,1
أجمل إحساس عندي فاش كنطلع فوق الخشبة وكنغني قدام بزاف ديال الناس و كيفرحو وكيغنيو معايا كنتمنى نكون ديما عدد حسن الظن ديالكم احبكم حبابي ,1
عيت ما نصبر ولكن عصبني هاد السيد تشا مالك,0
بلاد كحلة,0
حبابي آش باب ليكم فهاد الستيل نبدي نديرو مرة مرة ,1
أكبر تحية لأعز الناس لي كيبغيوني ,1
أحسن هدايا من عند احسن وليدات,1
تفاصيل الشاب اللي قتلوه بلا رحمة ولا شفقة,0
شكرا لكم على رسائلكم في يوم ميلادي فرحة لاتوصف عندي أصدقاء مثلكم يحبونني وأحبهم وعائلتي كنموت عليكم ,1
شكرا ليكم كاااملين على الدعم ديالكم أحبكم وسأظل أحبكم خليكم فجنبي يا أغلى الناس دخلو شوفو آخر أعمالي هنايا وتابعوني باش يوصلكم الجديد ,1
كنبغي موسيقتي رغم الصعاب والعراقل لي كندوز غادي نكمل ونكافح وإنشاء الله بيكم نتوما غادي نوصل كنتمنى تكونو فجنبي أحبكم يا أغلى الناس ,1
هاد البنية عزيزة عليا بزاف وماماها الله يخليها ليها تحية واش عرفتوها الفاشنيستا الصغيرة محاسن شكرا جلال على الصور ,1
مشيت لأحسن شاطئ فالمغرب,1
شكرا بزااف نور الهدي والله يخلي ليكم جاد هادشي كيحفزني نزيد نخدم شكرا ليكم بزاف على الدعم ديالكم ديرو تانتوما ڤيديوات و صيفطوهالي الدار,1
سررت بلقائك أخي وصديقي الفنان حديفة شكرا على حسن الضيافة تطوان سيتي,1
الحمد لله كلشي داز مزيان تسناو الصور والڤيديو ومفاجئة زوينة ,1
استمتع بوقتك عيش حياتك كلشي فايت ,1
غادي طيح وتنوض ولاكن متشوفش وراك شوف قدامك وفكر إيجابي الطريق مازال طويلة سييييير ,1
غادي يجي واحد الوقت غادي تبقى هاد الصورة غير ذكرى كنموت عليكم ,1
الصيف صيف تحياتي ليكم حبابي ابن جرير,1
 لحضات لقائي ب زوجي بعد سنة ونصف سنعيش تحت سقف واحد,1
إنسان لاقاتني بيه الوقت صدفة ولاكن أصبح أعز صديق عندي بمثابة أخ انسان كيبغي الخير لغيرو طموح وعندو عزيمة و إرادة شكرا أخي مراد على الكل راك عزيز ,1
الأصدقاء لي كيكونو معاك فاش كتكون بيخير و فاش كيوقعو ليك مشاكل و كطيح أون پان كيخويو بيك و كيقلبو عليك ليسو أصدقاء بل أصحاب الحاجة الله يلاقينا بما أحسن ,1
بالتوفيق للمغرب اختي الصغيرة قالت لي نحط هاد الصورة شحال تستاهل من جيم ابن جرير,1
أحسن حاجة وقعات ليا هاد الأسبوع تصورو معايا أطفال الصم والبكم و كبرو بيا,1
كنشوفكم يا أعز الناس كنموت عليكم ابن جرير,1
وأخيرا حبابي الجديد فهاد الأيام كونو على بال كنبغيكم,1
هناك اشياء بداخلنا لا تتغير مهما فعلنا ,1
حبابي توحشتكوم شكون كيتسنا الجديد ,1
حبابي الناس الزوينين بغيت نعرف كل واحد فيكم من إنا مدينة فكومنطير,1
حبابي بداية أسبوع موفقة كنموت عليكم ,1
صاحبك لي بصح صاحبك كيبغيك فوجهك و حتى فظهرك ,1
ولد بلادك فاش كيكبر بيك كتفرح وكتحس بيه باغي ليك الخير,1
فاش كنقول غادي نوصل يعني بيكم نتوما و الدعم ديالكم كنفرح فاش كنشوفكم,1
الحمد لله كلشي داز مزيان شكرا الجمهور لي كان زوين بزاف ,1
أمي الحبيبة كل عام وأنت بخير سنة سعيدة وكل عام وأنت حبيبتي كنبغيك,1
فالتعامل كيفما غادي تشوفني ليوما غادي تشوفني غدا بس كيفما,1
الناس الزوينين ,1
خلي حياتك فيها الألوان ماشي كحل و بيض,1
الحياة زوينة وبزاف عيش و نصيحة بغي الخير للناس تلقاه,1
ستاغلو وقتكم فحوايج زوينين باش تكونو فرحانين ,1
الطبيعة فبعض الأوقات كتخليك مرتاح نفسيا شكرا لكل الناس لي كيسولو فيا و كيدعموني كنبغيكم,1
النفاق فالحياة ديالنا والكذوب ولينا كنعيشوه يوميا حتى ولينا كنشكو ومكنتيقوش,0
نصيحة من القلب إلى القلب إلى كانت عندك شحاجة فقلبك وبغيتي تقولها متخبيهاش الصراحة راحة,1
الهضرة بزااااف بلاش الفعل أحسن بس كلشي فالإيجابيات ,1
صفي نيتك ومتخليش الأفكار السلبية تلعب ليك على العقلية ديالك ,1
سلام انا فرحان حنت عرفت بزاف ديال الناس جداد فحياتي فهاد السنة ودازو بزاف ديال اللحظات,1
لي كتبغيه لراسك بغيه لغيرك ,1
كتبولي الأغنية لي كتعجبكم فكومنطير ,1
نصيحة اليوم تيق فراسك وحط هدف قدامك وخدم عليه مزيان وحيد عليك الناس لي تهرسك وتهضر فضهرك,1
سلام وجوه الخير غادي نديرو الغربال شويا لي كيتسنا الجديد يبان هنايا قريبا المفاجأة,1
عيد أضحى مبارك ابن جرير,1
تهنئة خاصة يسرنا ويسعدنا أن نتقدم إليكم بأصدق التهاني والتبريكات بمناسبة قرب عيد الأضحى,1
ليلة سعيدة تحياتي ليكم يا أحسن فانز ,1
سلام حبابي توحشتكم واش كاين شي صهد عندكوم كنبغيكم بزاف بون ويكاند تسناو الجديد,1
 خالقين السعادة ,1
نهاركم مبروك يا أغلى الناس ,1
الحياة كل واحد وكيف كتجيه الحاصول تهلاو فراسكم واليديكم وحتى لي كيبغيكم أحبكم يا أغلى ناس,1
كوكو مبروك عيدكم بكل ماتمنيتو فحياتكم كنبغيكم حبيبتي أختي الصغيرة نسرين ,1
بصحة فطوركم ,1
كنهديها لكل الأمهات ورمضان مبارك سعيد مدينة ابن جرير,1
الحمد لله الأب ديالي بخير كنشكر أي واحد صيفط ليا,1
دعواتكم مع أبي الله يشافيه يا ربي,1
أختي حبيبتي نسرين أحبك وسأبقى أحبك إلى الأبد قولو ليها بصحة البيسيكليت ,1
شكرا مراكش تحياتي مراكش,1
وجوه الخير ناس ديال مراكش موعدنا ليوما مع فدار الثقافة الداوديات بمراكش جيو بزاف كنبغيكم,1
وأخيرا فنان وأعتز بها فنان وتقاتلت بزااف عليها فنان وفرحان والحمد لله بغيت نشارك معاكم أحلى أوقاتي,1
قريبا غادي نوريكم واحد الحاجة من شحال هادي وأنا خدام عليها وتحياتي ليكم كنبغيكم بزاف ,1
وجوه الخير موعدنا يوما الجمعة والأحد المقبلين في ساحة الحرية بمدينة الگارة على الساعة السابعة,1
الحمد لله الحفل داز مزيان والجمهور كان زوين بزاف تحياتي لولاد و بنات بلادي وكشكر سي نورالدين,1
ولاد وبنات بلادي توحشتكوم موعدنا يوم الأحد أبريل في إختتام مهرجان السينما بإبن جرير ,1
الحمد لله كلشي داز مزيان شكرا لكل الناس لي كانو حاضرين ,1
وجوه الخير حنا فالإستعدادات واش واجدين ,1
نهاركم مبروك بداية أسبوع موفقة ,1
 عجباتني هاد اللعيبة جاوبوني بالصراحة ,1
الحمد لله بالموسيقا ديالي وصلت و دزت فبزاف دالبلايص وهذا شرف كبير ليا وهذا من فضل التشجيعات,1
شكرا بزاف الناس ديال تممارة الحمد لله الحفل داز مزيان وشكر خاص للسيد ,1
كل عام والمرأة بألف خير بمناسبة عيد المرأة ,1
وجوه الخير تسناوني ف طوپ كوڤر مع طوپ تيڤي كنبغيكم ,1
نصيحة اليوم فكر مزيان قبل مدير أي حاجا وفاش تقتانع عاد خود القرار ,1
نصيحة اليوم تيق فراسك وكون نتا هو نتا كون داكشي لي بغيتي ماشي داكشي لي بغاو هوما ,1
صباح الخير كازابلانكا نهاركم مبروك ,1
أمي الحبيبة كل عام وأنت بخير سنة سعيدة وكل عام وأنت حبيبتي كنبغيك ,1
نصيحة اليوم كيفما تدين تدان ديرها غير زوينا ,1
نهاركم مبروك كنصحكم تجيو ديرو دورة فالمعرض الدولي للنشر والكتاب باش تستافدو شوية ,1
صباح النور مسجد الحسن الثاني الدار البيضاء,1
حبابي أغلى الناس شكون كيتسنا الجديد يبان هنا ,1
نهاركم مبروك بغيتكم تسولوني أي سؤال طاح ليكم على بالكم و نحاول نجاوبكم ,1
كنشوف بعيد وداكشي لي بغيت نوصل ليه كيبانلي قريب بالخدمة والجد أي حاجا ممكنة ,1
صباح النور ونهاركم مبروك ختي وخويا صغار سمعو الجديد وعجبهم كيقولو ليكم تسناو الجديد ,1
نهاركم مبروك شكون غادي يتفرج ليوما فالماتش ديال المنتخب المغربي و فناضاركم اشنو غادي يديرو ,1
نهاركم مبروك واش نتوما لاباس ,1
الحمد لله كلشس داز مزيان مع جمعية أميج شكرا بزاف كازا ,1
شكرا بزاف لأعز الناس لي سولو فيا صراحة مريض بزاف ولاكن كين تحسن الحمد لله كنبغيكم بزاف ,1
لي عريز عليه يدعي معايا بالشفاء,1
الفنان الشعبي الحاج موغيت عجباتو أغنية وكيسلم عليكم كاملين ,1
جلالة الملك محمد السادس يهنئ مجموعة فناير,1
تحياتي لأحسن فانز فالعالم كنبغيكم ,1
صباح النور وجوه الخير ,1
نهاركم مبروك ,1
سررت بلقائك أخي الإعلامي المتميز ,1
نهاركم مبروك شكون كيتسنا كنبغيكم ,1
نهاركم مبروك واش عندكم شي شتا ,1
الحمد لله داز التصوير مزيان كنشكر فريق العمل و الناس لي شاركو معايا كاملين كنبغيكم بزاف تسناو,1
الأغنية الجديدة سالات تسناوها قريبا إنشاء الله كنبغيكم بزاف ,1
سلام وجوه الخير صراحة هادشي زوين أول مرة كنحضر ليه يا سلام ,1
شكرا بزاف تفكرتوني فعيد ميلادي فاليوم لي ولدوني فيه جوج ديال الناس الواليدين الله يطول فعمرهم ,1
يوم جميل مع عائلتي الجميلة نهاركم مبروك ,1
سبحان الله الماء كثير ومكيحبسش والجو زوين بزاف وجوه الخير شكون فايت ليه مشا لهاد البلاصا ,1
تحياتي ليكم حبابي كنبغيكم جنان عين اسردون,1
نهاركم مبروك الإستمتاع بالوقت مع عائلتي الجميلة منابع أم الربيع,1
زيادة جديدة فالعائلة مبروك عمي رشيد تتربا فعزكم إن شاء الله ابن جرير,1
صباح النور حبابي جمعة مباركة ابن جرير,1
صباح النور الحب والموسيقى ,1
عيد مبارك سعيد نهاركم مبروك ,1
نهاركم مبروك واش غدا العيد الحباب ابن جرير,1
كنفكر بزاااف وكنعطي وقتي كامل باش تسمعو موسيقى زوينة ونقية ,1
كن راقيا بفكرك بكتاباتك بأفعالك بأخلاقك ستجذب إليك قلوب الناس وإن كانوا لا يعرفون عنك أي شيئ,1
ليلة القدر خير من ألف شهر مبروك عواشركم ,1
نهاركم مبروك يا أعز الناس ,1
حبابي نهاركم مبروك تقبل الله صيامكم كنبغيكم ابن جرير,1
سلام وجوه الخير واش عرفتو هاد الممثلين الزوينين ,1
هنيئا لكل الآباء بعيدهم الذي يصادف الله يخليك لينا يا أبي العزيز ,1
مساء الخير حبابي كنبغيكم بزاف ابن جرير,1
بصحة صحوركم كنبغيكم ,1
وجوه الخير شهية طيبة بصحة فطوركم ,1
 وجوه الخير باركو ليا وليت عم ,1
نهاركم مبروك كنتلفو الوقت شويا قبل ميأذن أنا وأخي الصغير ابن جرير,1
وجوه الخير شكون توحشني أنا بعدا توحشتكم أحبكم ابن جرير,1
بداية أسبوع موفقة كنبغيكم ,1
 أصدقائي حصلت على الجائزة الذهبية من شركة يوتوب,1
الحمد لله كلشي داز مزيان شكرا الناس ديال فاش ,1
كنت مريح فكافي وجات حدايا هاد لمشيشة وعجبها لحال يا سلام ليلة سعيدة وجوه الخير ,1
اليوم غادي تسمعو واحد الكوڤر مفاجأة وجوه الخير شكون بغا يسمع ابن جرير,1
بعد قليل مفاجأة بصوتي وصوت الفنان حديفة شكون يسمع ,1
أحبابي هذا أنا فاش كنت صغير كلشي على اللبسة والوقفة والشوفة ,1
مساء الخير وجوه الخير ,1
أختي الصغيرة نسرين كتسلم عليكم ,1
الغروب والجو الجميل في مدينة آسفي ,1
صورة للذكرى مع ناس عرفتهم فقط فالفيسبوك وتلاقيتهم ابن جرير,1
الحمد لله الحفل داز مزيان شكرا ناس مدينة البهجة مراكش ,1
الحمد لله كلشي داز زوين تسناو الڤيديو كنبغيكم ,1
نهاركم مبروك جمعة مباركة واجدين ليوما باش تسمعوا الأغنية الجديدة ,1
نهاركم مبروك غدا إنشاء الله الأغنية الجديدة ,1
سلام وجوه الخير أي واحد كيتسنى الأغنية الجديدة يدير ڤيديو صغير يقول فيه الاسم والمدينة فين ساكن,1
وجوه الخير عندي ليكم مفاجأة ليوم شكون بغا يشوفها ,1
مي لحبيبة كل عام ونتي بخير سنة سعيدة الله يخليك لينا أحبك ,1
شي دعوة مع جدي الله يشافيه ,1
جدتي الله يخليها لينا دعيو معاها بالشفاء,1
بصحة غداكم ونهاركم مبروك,1
زيدو مرحبا بيكم بصحة غداكم طياب لميمة الله يخليها ليا,1
وأخيرا لقيت مول كاوكاو تصورت معاه رجل طيب بزااف ,1
من أحسن الحوايج لي كيعجبوني بزاف فالصويرة هي الألوان المتناسقة ,1
ضحك للدنيا تضحك ليك ,1
قولوا لي بصحة الطربوش الملكي ,1
 الشعب يحب الملك و الملك يحب الشعب,1
الحمد لله أختي أحلام نجحات خدات الباكالوريا ديالها ,1
صباح النور وجوه الخير,1
شحال زوين يكون عندك عمك كيفهمك ,1
جو فشكل ولاكن زوين كنشوفكم اوجوه الخير ,1
الحمد لله كلشي داز مزيان فرحنا هادوك الوليدات والبنيات الصغار الله معاهم,1
راني كنبغيك,1
 مختفون كاين الخير في المغاربة,1
الله يصبرك ,1
ما احلاها مافى شئ له نفس تأثيرها على روحى ,1
ربى يحفظ بلادى ويبعد عنها الحاقدين,1
يلا نضحك من القلب ,1
كرهت هدا الروتين,0
 كرسي واعر,1
الحمد لله مزال الخير في الناس,1
ربي يحفظ بلاد الحرميين,1
اه بصح ولكن كوميم كيبقاو اجواء زوينين,1
لقينا لي يدعمنا بقى لينا غير ندعمو اسرائيل الله يصلح الحال و صاف,0
وي زوين,1
وي واعر بزاف,1
ناريييييي باش فكرتيني الزمن الجميل,1
مرحبا ,1
حتى تكونو نتوما دولة عاد باش ترجعوا صحرا دولة طفرتوه نتوما فموريتانيا بقات ليكم غير صحرا,0
الله يفرحك اسي جواد ,1
هادشي لي عطى الله,0
الله يرحمنا الخوت,1
الله عليكم يا شعب التويتوما العظيم ,1
طحت ف واحد المسلسل مصري واااعر ديال هاني سلامة فارس احلام الطفولة ,1
كاين نوع ديال الرجال كيعجبهم لمرا الضعيفة لي تبقى ديما محتاجة ليه ومتقدرش تعيش بلا بيه باش يفركها ويحكها مزيان ومتقدرش تهضر ديك ساعة كيحس بروجولتو,0
شكرا زين غادي نجربهم,1
الله يدوزو على خير,1
مكنحملش شهر جوج عندي فيه ذكريات خايبة بزاف ,0
شكرا خويا,1
لا سمحلي اعزيز ممتافقاش معاك الاشهار اصلا هو العرس والاشهار كيديروه مالين العرس ماشي الضيوف اما باش واحد من المعزومين ينشر صور العروسين من غير اذنهم هدا راه سميتو انتهاك للحرمة,0
حنا غير الريح مكاينة شتا,0
يعني حاطة لمغرب مقسوم على اثنين وجاية تسولي هاد السؤال ياخي بركا من النفاق,0
واعرة شوفيها,1
 ربي يخليك,1
ان شاء الله ياربي,0
لا دنيا لا اخرة على الاقل الى منتاحرش يكون عندو امل فسعادة الاخيرة,0
يضحك ليك الخير والربح اخويا تصبحوعلى خير البنات,1
احسن مادرتي فحياتك,1
معنديش معاه من ديما ودابا ولا ماعنديش معاك كتر كاع هادشي على البوز,0
مرحبا بيك ازين ديالي فاي وقت دار دارك ماتحتاجيش عراضة,1
اييه ماشاء الله,1
بصحتكم كلشي مزيان ,1
الله يعفو علينا من هاد البلاد الكحلة,0
راه ما استاذ ما والو راه عندو غير لباك ,0
امين ازين ربي يخليك,1
متافقة معاك,1
 عرفت غير تنظحك معاك,1
عجبني الايقاع ديالها ,1
اسيدي معندي منتسالك,1
 لهلا يخطيك حبيبتي الله يحفظك قولتيها بحال ايلا دقتو,1
بنت مختفية هادي جوج سيمانات هما واليديها تيقلبوا عليها ليوم لقاوها ميتة فشي غابة,0
هادي اهانة فحق القفطان,0
هادي هي حقيقة التيتيزات للاسف,0
بهدلو لينا القفطان ,0
تقريبا ديك سيدة اتفق الكل على حبها ,1
الله يفرحكم بيها,1
 بصحة وراحة,1
فعلا صوتها من اروع ما كاين,1
الله يكتر خيرك,1
 غير تنضحك الله يطول العمور,1
قديم مع راسك ,0
يبغيك الخير والربح,1
كان رجل مزيان الله يصبرها وصافي ,1
سلات مني شدات ف رقية الله عليك يا فخر العرب والعجم الله الله,1
امين ازين ربي يخليك ان شاء الله ربي يدير شي تاويل ديال لخير,1
الله يوفقها ويسهل عليها غير قوليلها تبقى تمشي مع جماعة حيت بوحدها را صعيب لحال انا كون نلقى معامن نمشي فصباح منهزش الهم هادشي مغيحسش بيه شي واحد غير سامع,1
تويت ديالك درت بيه سكرين بكتر ما عجبني,1
امين ربي يخليك,1
لهلا يخطيكم ,1
امين ياربي ربي يحفظك,1
شي عقليات حارو فيها العلماء اختي,0
شي حاجة كتر من مريض,0
يكون خير اخاي شكرا,1
طلعت لينا راحة فراس اخويا الملل و حدم الشعور بالراحة النفسية,0
يعطيك الصحة,1
الله يحفظك خويا محسن,1
 تشبيه واعر,1
الله يعطيك الصحة ,1
راه تنضحك ,1
لهلا يخطيك وصافي,1
كيعجبوني الاباء لي كيربيو ولادهم على الشخصية القوية,1
فينا دعوة الخير صراحة,1
خليك ليلي ,1
يختي على لي تيرفعلي لمعنويات,1
الله يحفظك ازين حنا وياكم ان شاء الله,1
طيرتيني خصنا نشوفولك مع الادارة واش يدوزوك,1
نتي معندكش امل كاااع,0
على هاد لحساب غنبقى بايرة للابد ,0
الله ياخد فيكم الحق اش درتو فولدي,0
ماشي قضية حرية شخصية هادي هتدي قضية نفاق سياسي اجتماعي اخاطب بشئ واقوم بشيئ عكسه تماما قناعاتي في المغرب شيئ وفي فرنسا شيئ اخر الخ,0
عندك زهر,1
جيل منحوس ياختي,0
ياودي غير خلينا ساكتين,0
سنة سعيدة ختي,1
علينا وعليكم عزيزتي بدوام الخير والسعادة والامان وراحة البال,1
وانتي بالف خير ليمو ربي يدخل عليك السنة الجديدة بكل شي حلو,1
كل عام وانتي بالف خير ربي يدخل عليك هاد لعام ببزاف ديال الفرحات,1
علينا وعليك خويا ريي يخليك,1
ميمكنش ننعس مع هاد لحريق,0
الله يوفقك,1
زوينة غادي نبدا بيها,1
 غير تنضحك,1
حتى حاجة ماصعيبة تعلم اش تتسنىبالتوفيق,1
ياحبيبي الله يصبرك ,1
الله يهديك اعصام الله يهديك,0
هو يستاهل وحنا مالين الخير,1
بلعكس زوينين,1
 في حصة التربية البدنية طحت طيحة خايبة على ضهري حتى خرجت ليا الكشكوشة كون ما الاسعافات الاولية ديال الاستاذ كون الله يرحمني,0
مزال دعاوي لمغاربة راهم كيخرجو فيه,1
الله بكمل بالخير,1
خيرنا ما يديه غيرنا,1
الله يرزق غا صحة وسلامة حتى نتا,1
مكرهتش ولكن الظروف لا تسمح,0
الله يشافيك ويعافيك,1
اه ماشاء الله ,1
واعرة واعرة,1
تبليت بلية خايبة بهاد الاغنية ,0
ناظور عامر بزين ,1
فقدت الامل فيه صافي,0
صراحة عندنا زين فالمغرب,1
امولة زوينة عيد ميلاد سعيد ربي يعطيك كل مكتمناي فهاد العام ويفرح قلبك سمحي ليا جيت معطلة شوية ,1
الله يعطيك طول العمر,1
قهرتونا بالشفاوي,0
نبنيوهم بتبرعات المحسنيين بحال جوامع الناس المحسنين كتار الحمد لله,1
دابا متافقة معاك,1
ولاد الحرام,0
هاد التريد صدمني زعما غايكرن هادشي بصح,0
ماعرفتش جاتني زوينة من الوحدات للعشرات ,1
الله يصبر ميمات لبنات راه تيبقى فيا لحال فاش تنشوف شباب بحال هكا بهاد العقلية الخامجة الاجرامية,0
الله يرحموا ويوسع عليه يكفي انك تدعي ليه وتتصدق عليه,1
غنكون ماشي بكامل قواي العقلية الا جاوبتك نيت,0
الامر بحد ذاته مهول ميحتاجش يزيدو لمغاربة يهولوه,0
قتل بنادم بديك طريقة جاتك قليلة حشومة عليك,0
لم تكن بالبت رسالة الانسان في الارض نشر القتل والكراهية,0
