text,target
*فرح* عالام براهش جاو في كوفيد 19 الوقت مزيره و اوج العطاء ديالكم الله يكون فعونكم,1
*فرح* و عادي دلاح هو هذا تقميره ه,1
*فرح* تحمد ربها ما حدفها من شي مكان عادي,1
*فرح* غادي تولي من اصحاب الكهف *فرح*,1
*قلب ازرق* *البريق*,1
*قلب ازرق* لمحبي الدارالبيضاء,1
*قلب ازرق* نحبك *قلب ازرق*,1
تفو عليك و علي لي مثلك لكمه,0
اكبر قدر وا راه غادي يحصدو غير اللي زرعوا و طبعا ما زارعين والو غادي يحصدو غا الطوب,1
برشلونه باقالتها ل بيمنتا اعتقد انها قدمت له خدمه حتي يدرب انديه اكبر من الرديف,1
 قال ابو بكر بن عياش سمعت ابا حصين يقول,1
منيول و دي باك و مك خليهم يشرعو فامهم ينعل جد بوهم الكلب,0
الدفع عند الاستلام,1
سير تحوا الكرغلي,0
اخويا بيت شهاده التلقيح,1
هو رءيس الدوله,1
و لكن حتي انا بغيت نجرب هاد الاحساس ديال يبلوكيوني *ابتسامه عرق*,1
10 الاف دولار بالعمله الصعبه,1
15 عام في التفويت و حط مشروع حتي لدابا,1
سير جيب لاكارط ناصيونال و تيليفونك ء جي,1
هو القاءد الاعلي للقوات المسلحه الملكيه,1
20 عام هادي زرت مكناس فايطار العمل مده اسبوع و فشهر 7حي صناعي وجه لعروسكانت حراره مفرطه لكن فالليل يا سلام,1
2021 و مازال كاتستعمل ديك الله ينعل الطاسيله و الفاصيله و النقطه و رجع للسطر *تنهد*,0
21عام وحنا فهاد سيسطيم الناس و ولدات لجاليه فوق راسنا ولكن شي حوجات دايمن غادي بقاو ناقصين,1
27 صباح النور والسرور *ابتسامه* يومكم كاس افريقيا في الكاميرون و التاهل لكاس العالم قطر 2022 ان شاء الله *فرح*,1
4 ديال المحلات,1
54 عام حكام عرب وقفوا في صف العدو الارهابي وخانوا الامانه وضعف الجيوش العربيه زاد الامر كارثه,1
6 ديال تركيا شنو تايدير فتيران,1
7 ديال بوركينا لافاصو مقود,0
٨ حالفين علي البارصا من نهار حاولو يديو ليهم فيراتي,1
98 اول بارتيدو معاهم و المغرب في احسن وقيته,1
خارجه ب ميني جوپ و كتقول علاش تبسلو عليا,0
باراكه من الهضره الخاويه,1
بنت الستاتي بحالها بحال ابيضار,1
كحلوش ماركا عاود ثاني,0
لكم دينكم و لي دين,1
فاك يو برو,0
كورونا اكبر كذبه فالقرن 21,1
الشناوا عندهوم صغير هه,0
ا عطيني بوس هدا الخدود فراوله,1
ا لله ما احفظ الطبقه الكادحه من هذا الوباء في المغرب عامه,1
ا مقود لمتافق اسطاسيوني حدايا,0
ا ودي معامن غادي دوي خليهم حتي يعيقو بوحدهم و صافي,1
االف الف مبروك لاختك الكريمه,1
ااه اه انا حسب علينا دوك التغريدات الحامضين,0
ااه هذا نتا,1
ابو ام دي ماده نجسه بنت ميتين كلب مبطيقهاش ولا بطيق اللي بيدرسوها شويه بهايم ولاد ستين كلب,0
اتا سيراه ݣالاك كون غير رجعت ل 15 عام ه,1
اتركهم عنك يا سعد,1
اتظاهر باني لا احبك,1
اتعجب لمن يتابع مشاكل البارصا والريال التي قد تورطنا في مشاكل لا حاجه لنا بها,1
اتعلم,1
اتفق معك لكن ليس الاسلام الذي بعد الخلفاء الراشدين,1
اتفق معك اخي الكريم لكن متي,1
اتفق معك تماما و البارح في المساحه تمنيت شء واحد ينبه الي هذه الملاحظه,1
اتفهم الانتقاد المنطوي في التغريده لكن لا اتفهم الهاشتاغ صراحه,1
اتلتيكو يريده,1
اتمني اليوم ده يعدي باقل خساره ممكنه,1
اتمني لك كل العمر السلام والسعاده,1
اتمني لكم بدايه يوم مليءه بالمفاجءات الساره,1
اتوما واش لقجع دور مع فراقي البطوله ولا كيفاش *شخص تغطيه الوجه باليد*  *علامه الذكور*  *شخص تغطيه الوجه باليد*  *علامه الذكور* ,1
اتيت فءادها اشكو اليه,1
اثنين مبارك مجيد للمثابرين الذين ينفضون عنهم غبار السقوط في كل مره وهم مبتسمون *ابتسامه*,1
اجازه اسبوع كانت سعيده بفضل الله بوجود اخواني وسندي حفظهم الله *قلب* ,1
اجتماع صامت ودون بيان بين اعضاء مجلس التعاون والرءيس الامريكي اوباما استمر اياما بكمب ديفيد,1
اجي نتا فين غبرتي,1
اجي نتا فين غبرتي ياكما بلوكيتيني ولا ميوتيتيني *مبتسم عفريت*,1
اجي وريني شكون هاد الحمار لي صرفقك,0
احباط عمليه تهريب طنين و490 كلغ من مخدر الشيرا قرب المحمديه,1
احبكم رغم الاختلافات *قلوب* ,1
احبوا ذواتكم بحق,1
احترام رايك و لكن تذكر انك ستترك فجوه لتموقع الانتهازيين و الزواف لا تستهن بصوتك ربما يحدث فارقا,1
احدهم يملك,1
احساس مقود كل مره كنقرا شنو كيكتب تقريبا 5 سنين وهو فالحبس ظلما وعدوانا,0
احست لحظه عشتها كمحب لكره السله,1
احسن حاجه تشوفها علي صباح,1
احسن رابور فالمروك لي معايا يدير لايك,1
احسن ظنك بالله واتمني الخير للناس,1
احسن له لان مدرب تشلسي عنصري كلب *فرح* *راض* *راض* *راض* *راض*,0
احلاهما مر و لكن اش هادير الجاليه خاصها تفهم تاهيا هادشي,1
احي جيدا فهذا اعظم انتقام,1
اختصاصات الملك حسب الدستور والقوانين المغربيه,1
اختي حليمه روعه طوب طوب طوب مزيدا من التالق والنجاح,1
اختي دينا المتناكه وهل هي لسه شرموطه ولا بقت محترمه قصص المحارم,0
اختي فقصوني انا اصلا معنديش لكن مين نكون مريض مكنحملش شي حد يصدعني ه,1
اختي ناقص فاللمسه الاخيره من ايام اليوفي يدير كلشي و لكن كيضيع,1
اخر الاخبارالرباط,1
اخرين المنتخب كان علي قده,1
اخشي عليه من السجن و ربما الموت,1
اخطاءه بترتيب بعض الكلمات,1
اخنوش غادي يضيم ويشد الواد,1
اخنوش و الخنشه ديال الفلوس,0
اخنوش وزير في جميع الحكومات منذ 2007,0
اخوتي لي تايبان لكم طاليان لاعبين واعر,1
اخوتي واش سيدي ربي جهد البوطه ليوم ولا كيفاش,0
اخي الراءع ليث مبروك لك ايضا التميز جد فخور بك,1
اخي هنيءا علي هذا المستوي من الوعي,1
اخي يوسف بعض الهوتات لا تدخل ضمن هاته الفءه,1
اخيب اقصاء 98,1
اخيرا تم اصدار اغنيتي الذاتيه,1
اخيرا ملي ساليت القرايه بديت نتفرج فالسقيفه و شدتني التبوريشه من 3 دقايق لوله فلحلقه لوله ربكم,1
ادا لم يتم تغببر المدرب وابعاد ام تيتي وكلينزمان واقاله بيكي فستظل البارصا بدون عنوان,1
اداء جد عادي ياحبك للنفخ,1
ادانه الاتحاد الاوروبي اش غادي تزيدني و لا تنقصني انا كمواطن مغربي *وجه التفكير*,1
ادهم شرقاوي *موازنه*,1
اذا اردت شيءا بقوه وتمنيت وجوده في حياتك,1
اذا دخلت اليوم ستجد,1
اذا شفت عيب في خوك جيب الابره ورقع,1
اذا فتحتي مساحه اقصاءيه من ناحيه الجنس او الراي علاش كا تعملها الدعايه,1
اذا كان اثنان موتي,1
اذا كان الخنزير نتانياهو في الاردن و ثم في تركيا و عمان و يجتمع مع سعوديين فلا يزال الخنزير,0
اذا كان ملعب الفتح فهذه صفقه قديمه من 2007,1
اذا كان هكذا فالامر عادي انا ظنيتها حمله سيبرانيه,1
اذا كان هناك لبس بسبب ضعف اللغه للقارء فهذا لا علاقه له بالقران و كماله و لكن بالقارء,1
اذا لم تكن حذرا فستجعلك الصحف تكره المظلومين وتحب الظالمين,0
اذا مشي تشيلسي يعني غادي المدرب يستمر علي نفس الخطه والصراحه اتمنيت يبدلها باش زياش يلعب في الخطه اللي مناسبه ليه,1
اذن انت تقود امورك الشرعيه وفقا لهواك ولا ترجع فيها للعلماء الكبار,1
اذن داكشي ما مرتابطش بمستوي الوسط,1
اذن طنجه كيف العاده *شخص يكره*  *علامه الذكور* ,1
اذهب حيث يرتاح قلبك اذهب حيث ترغب انت حيث تشعر بالامان والاطمءنان لا تاخذ اتجاها,1
ارا ديك الصداره نطهروها من نجاسه *عضله*,1
ارا لهنا واحد كرعين بالهريسه و ينعل بو شي حضاره *لسان*,0
ارا نشوف الكلب ه *وجه الكذب*,0
اردت داءما نقل,1
ارسلت الرباط *العلم للمغرب* الي مدريد *علم سبته ومليليه* رساله عبر القنوات الدبلوماسيه,1
ازمط ليا مالين الجيلي القاءلين و لكن وجب تنفيذ الامر فعلا,1
اسباني يضحك فوجهك و من لور يشتم فيك اتبقي ديما مورو لعين فعينهم يا كلب منبود منهم ومنا الي يوم دين,0
اسبانيا تشرع في تنقيل العاملات المغربيات بحقول الفروله الي ميناء طنجه,1
اسبانيا تفكر و لكن المغرب يعتزم استرجاع المدينتين ان شاء الله الفرج قادم,1
اسبانيا سترتك حوالي 54 يوما لكن النظام الجزاءري فضحك في اول يوم,1
اسبانيا شكايات تطارد غالي ومسءولين اسبان بتهمه تزوير وثاءق هويه,1
اسبانيا محيدا من عمليه مرحبا بورقعه غادي ياكل الدق,1
اسبوع الجايي امتحانات ومني حافظه شي *ضفدع* *قلب مجروح*,1
استضاف امس الفريق الاول لنادي الوداد الرياضي الطفل الودادي ايوب بوزياني بمركب بنجلون *قلب* ,1
استغفر الله,1
استهداف القلاوي و باراكا من الكدوب واش الجيش الامريكي و مغربي كاينين في صحره و نتا كاتقولي استهداف بزاف علي الكلاخ,0
اسست جمعيه سريه لتحرير العبيد عام 1849م,1
اسعد الله يومك بكل خير و اعتذر عن البوسط لكن وجدت ان فيه عبره تستحق التذكير في مجتمع فقد الكثير من قيمه الاخلاقيه,1
اسف اعني في التعليق اللي سبق هذا لكن انا ارسلتهاهلك في الرساءل شوفي الرساله اسف علي سوء الفهم,1
اسمع ترهاته وانا ارتشف كاس شاي بالنعناع,1
اسمك انس,1
اسمها عادي بصوت مرتفع نجاه,1
اسمي علاء *قلب* ,1
اسوء حاجه فالدنيا انك تبدا تراجع من الاول 15 يوم قبل الباك,1
اسير تقود,0
اسير تقود ميخي خهه,0
اسير تقوذ انت ماذير ليا اعجاب ولا قلاوي,0
اسيري ݣالاك والله حتي طياره و مخيره *عيون القلب*,1
اشتقت اليك,1
اشتقنا لتغريداتك,1
اشرب اقتيل اغتصب تحرش ولا تندم ولا عليك,0
اشعر داءما بالحزن قليلا عندما اضع قدمين علي,1
اشمن عرس ولا قلاوي,0
اشمن قيمه مضافه غادي يعطيك واحد غير مجرد نقال,0
اصبح مني الشباب قد حسرا,1
اصبحنا و اصبح الملك لله والحمد و لا حول ولا قوه الا بالله *ارتفع* صباح النور و السرور,1
اصبحنا واصبح الملك لله,1
اصبحنا واصبح الملك لله صباح جديد في يوم جديد والمقاطعه مستمره الي ما شاء الله,1
اصبري نجيب القاتو *عيد الميلاد* *كيكه*,1
اصحي يوم الجمعه الساعه ٩ وقولت ماشي بس ليه يبقي عندي كل الصداع دا كمان,1
اصدرت وتم اعتماد صلاحيتها من تاريخ ظهور النتاءج قبل اسبوع,1
اصدقاءي كشعر راءسي و لكن عند الشداءيد قليل,1
اصلا الباك ولاو الاسءله معاودين يعني روتين,1
اصلا البحر زوين من تغازوت و نتا غادي *فرح* *حسنا* *رمز تعبيري معدل ثلاثه*,1
اصلا انا كانت تعجبني البارصا مع رونالدينهو *نظارات شمسيه*,1
اصلا عادي,1
اصلا عادي كل سيزون ينحرق علي الا هذا اقل موسم انحرق علي,1
اصلاا عادي,1
اضحوكه العالم *فرح*,0
اضرب فداء القدس بالهشتاق اوجع بوسمك زمره الفساق,1
اضطرت امسح تطبيق وحملته تاني,1
اظن انه يكتب بهذه الطريقه قصدا حتي ياخد منه الاوباش المرتزقه كلامه علي انها مصدر مغربي,0
اظن فاجيولي منطقيه لكن تفرط بروفيلا و هو لاعب اساسي مع جنوي قرار متسرع و مفروض يحطو شرط اعاده شراء بمبلغ مقبول بيكون قرار جيد,1
اظن ليس الكل فاسد,1
اعتقد,1
اعتقد ان كان طلع وجهه في احد الفصول و لكن سيو حدف الامر,1
اعجز عن منع نفسي من شعوري,1
اعطيله زبي من عشره,0
اعقل يا برشلونه,1
اعلامنا المصري الجميل المحايد,1
اعمل لاجل ان تعيش الحياه لكن لا تعيش لاجل العمل *علامه الاختيار البيضاء*,1
اغلب الاوقات 60 او اقل بشوي لكن كانت اختي تحمل لعبه,1
اغلبهم براهش ولي كنقولو زعما بعقلو كيتبرهش باش يرضاو عليه البقيه,0
اغيلار يتحدث عن خيارات برشلونه الاكثر اولويه,1
افتح القوس وزود عطلنا طياره الباايرن *فرح* *فرح*,1
افضل ان يكون لدي اسءله لا يمكن جوابها علي اجوبه لا يمكن مساءلتها,1
افضل صديق ما عندي,1
افعل الخير وليقع حيث يقع فان وقع في اهله فهم اهله وان وقع بغير اهله فانت اهله,1
افهم عليك *حسنا* *رمز تعبيري معدل واحد*,1
اقبل عادي *شخص يكره*  *علامه الذكور* ,1
اقترب من الصحراء يا كلب فرنسا نحن في الانتضار,0
اقدر ابعد وامشي ولا كاني عرفتك ولا عشرتك حته هتقول عليا بياعه قول عادي انا عملت كتير وانت كنت مكبره اويي,1
اقدر من الان اسفل فيه ما عندي مشكل و لكن لا تنفخ لي شخصيه بعدها تقول انا متعصب,1
اقدم خريطه بالتاريخ للعالم بطليموس,1
اقصاء الحدود الاسبانيه من عمليه مرحبا شيء عادي,1
اكادير بقيمتها وعراقتها واقتصادها الفلاحي والسياحي لاتتوفر علي مستشفي عملاق يليق بها,1
اكتر واحد بيسالك مالك هو اكتر واحد بيبقي فرحان لما تقوله انك تعبان متفرحش بالسوال الكتير افرح لما تلاقيه فعلا زعلان ع زعلك,1
اكتشفت ان محدش يستاهل ابالغ ف مكانته عندي,1
اكثروا من الصلاه والسلام علي رسول الله صلي الله عليه وسلم,1
اكرر يجب فصل الدين عن الحوا,0
اكلب كلب شفتو فحياتي هو عبد المجيد كلبون النباح رءيس الجمهوريه الشعبيه الديموقلاويه,0
اكيد و لكن صدقيني و عن تجربه لا يهتم بك الا عزيزا,1
اكيد سيتحقق هذا لكن بشروط,1
اكيد عندي غلطات في حياتي,1
اكيد كان يقصد لحم الطبون فهو فعلا مار لكن ممتع *يتدحرج علي الارض من الضحك* *يتدحرج علي الارض من الضحك* *ممتاز*,0
اكيد لاء,1
اكيد لكن يعطيك احساس وضمانات انه مدافع قادم بقوه,1
اكيد و لكن سنعيد الكره,1
اكيد و لكن من حمل الثاني فوق طاقته لا يعتبر روح للروح,1
ال فالبنك صفر,1
ال فالبيت صفر,1
الا جاتك فرصه تلاقا مع واحد من توتير شكون تختار,1
الا صديق لي في هذا العالم,1
الا كان عندك شي جارك و لا شي حد فالحومه عنده فيبر غادي يركبوه فنهارك,1
الا لا هادشي اللي قلت عادي جدا مجرد توصيف لشي حاجه شفتها وصافي,1
الا مكتامنش بالخبث غادي يجيك عادي و الله حتي كاين تبن,0
الاخت ميساء,1
الاختلاف في الراي فضيله لكن التروي في اتخاذ المواقف افضل,1
الاخوان اشنو كديرو باش تشوفو لي كيطلع لطوندوس,1
الاخوان مسدوده ليا الشهيه وماكليت والو من الصباح,1
الاخوه الليبيون عاملين معه الواجب و مطلعين,1
الادمن فتي الفرعون الحنون,0
الاستاذ المعجزه ضرب مقرر الاجتماعيات كامل مع صحاب الباك فلايف د ساعه و ربع *اجريت في تكتم* *شخص تغطيه الوجه باليد* *رمز تعبيري معدل ثلاثه*  *علامه الذكور* ,1
الاستعمار بعينه هذا لكن لن يستمر طويلا خاصنا غير رجال اما شمايت عاجبهم الحال يبقاو فيها,0
الاسد الافريقي 2021 اقامه مستشفي طبي جراحي ميداني قرب تافراوت,1
الاسماء اعرفها لكن سءالي كان حول توفقهم من حيث الثروه,1
الاشبين مالك غادي نديرو العرس ف كاثدراءيه ديال برشلونه ه وايلي ناوي تخلي نجوي مسيحيه,1
الاشهار كله كذب في كذب,0
الاصدقاء نعمه,1
الاعتذار الحقيقي لا يمكن في كلمه انا اسف الاعتذار الحقيقي يمكن في جمله ليتني لم ارتكب هذا الخطا في حقك,1
الاغلبيه قالوا مءه في المءه يعني يكرهون الامارات لكن كيف ستخترق قوم يكرهوها مءه في المءه هناك خلل في الاستطلاع,0
الاغنياء لي عندنا علي الاقل خرجوا لينا غي شي بطل فالتنس نلقاو بعدا غي شكون نشجعوا اللينعلطبنمكم,0
الاف ينظمون مسيره دعما لاسره لقيت حتفها دهسا بشاحنه في صور,1
الافراج عن الشخص صاحب لان القضاء برر ذلك بكون لم يلتزم بالتباعد الجسدي,1
الامنيه والقضاءيه دون تسامح,1
الانجليزي عندي ضيع العربي خالص وياريته انجليزي عليه القيمه,1
البابور لي جابني ينعل والديه,0
البارح قلت لك بلي خط النقل بين محكمه سيدي امحمد و الحراش سيعود,1
البارح كانت نتاءج تصويت البرلمان الاوروبي علي مشروع قرار يدين الدوله المغربيه بعد احداث سبته,1
البارح هنا في طنجه واحد قالي 25 درهم الكيلو *عابس*,1
البارح وقف عليا واحد الراجل مكنعرفوش كبير في السن وانا في السياره قالي غادي تشرف بغيتي ولا كرهتي ه,1
الباك *التعابير* *وصمه*,1
الباك تاعي راح كامل كتبولي في ظهره غير مسموح له بدخول اي جامعه و كاشي احمر فوقه *فرح*,0
الباك هو اسهل اخر امتحان غادي تدوزو فحياتك,1
البحر ربع ساعه من بيتكم يا ايحاء *فرح* *فرح* اي نعم مويتو بنيه لكن بقضي الغرض,1
البرتغال تمتلك جيل مميز من اللاعبين لكن تفتقد لمدرب *حسنا*,1
البرلمان العربي بحال الجامعه العربيه غير تيندد,1
البرهوش سانشيز كان مراقبا للانتخابات في سنه 2011 ووصفها انذاك ب الغير الديموقراطيه,0
البشر مختلفين كل واحد هواياتو واهتماماتو فبالنسبه لعديد من الاشخاص امر عادي,1
البعض لا يءمنون بالكورونا و لكن يسعون للحصول علي منحتها,1
البعض يسعون للعمل في الانتخبات و لكن لا يءمنون بها,1
البلديه مزال كاتخد الفلوس من عند الفراشه لاستغلالهم للملك العمومي بطرق فيها نوعا من القسوه و الحكره,1
البلوكات دي للناس الضعيفه لكن انا اسيبك زي النيش منظر و متلزمنيش,1
البنت باغا و الدري باغي و هي كتحشم و هو تالف منين يجبد الهضره,1
البوليساريو بان بسبب اسبانيا كون مشات اسبانيا فحالها وخلات الارض لماليها ماكنا غادي نسمعو لا بوليساريو ولا الصحراء الغربيه,1
البي جي دي حزب خواف مكيقدرش يقول هاد الشي فاش كانو معاهم في الحكومه 2 خطرات,0
التاريخ سيظل تاريخ,1
التجمع الوطني للاحرار بغاو اداويو المغاربه من فلوس المغاربه,1
التجمع الوطني للاشرار يشارك في جميع الحكومات منذ 1977,0
التحرش هو الفيروس الذي لن يتمكن الانسان ابدا من التوصل الي لقاح يقضي عليه,1
الترات الوداد والرجاء تسد خصاص التبرع بالدم بالجهه,1
الترمه و الصدر ويكون غوز *شخص تغطيه الوجه باليد* *رمز تعبيري معدل اربعه*  *علامه الاناث* ,0
التصنيف اكشنمغامراتخيال,1
التطبيع هاهو ماشي,1
التعريفه علي اساس انت حاجب راه باين بما انه جاك السءال عادي يا ذي النوايا السيءه,1
التعليم الفاشل كيعطيك بحال هاد النوع ديال,1
التغيير سيكون لكن متي ان تضافرت الجهود سيكون بسرعه,1
التفكير فيك مغيموتش,1
التوابل ماسولتيش عليهم,1
الثقه بالنفس لا ءعني الغرور لكن الثقه بالنفس لدرجه استصغار الاخرين تعالي فارغ,1
الثقه تهدم بسرعه لكن زمن بناءها يطول,1
الجامعه الملكيه المغربيه لكره القدم تسمح لرباعي الوداد الرياضي لعب مباراه الدفاع الجديدي,1
الجاهل يمكن تعليمه,1
الجزاء ف الاخره لكن دنيا لاء,1
الجزاءر لا يجب ان تتجزا و لكن وجب علي بقيه الولايات الاخري ان يفعلو مثلهم و يظهرو شجاعتهم ضد النظام,1
الجواز التلقيحي المغربي كيف يمكن استخراجه وماذا يخول لحامله,1
الجود والكرامه برافو عليكوم,1
الجيش المغربي يرد علي البوليساريو بقصف منطقه البريكه قرب مخيم الرابوني,1
الجيش فعهد عبد الناصر كان كافر وفعهد السادات دخل الاسلام *فرح* *فرح*,0
الحاجه لي كنت شاكا فيها طلعات ديال بصح وهي ان رشيد تايدير داك التهريج ديالو حيت تايدخل فيه فلوس صحيحه,0
الحاجه لي كنت شاكا فيها طلعات ديال بصح وهي ان رشيد تايدير داك التهريج ديالو حيت تايدخل فيه فلوس صحيحه *المال مع الاجنحه*,0
الحب قرب القلب رغم بعادنا,1
الحب معني لا يقال ويشرح,1
الحبيب حاجي القضاء الاسباني غير مستقل واسبانيا والجزاءر تتحالفان لاشعال الحرب,1
الحبيبه ديالي توحشتك وغبرتي البارح غردت كنت مفقوسه دابا سافا تنديفولا وصافي ه,1
الحدادي خراني ب الضحك,0
الحراك الجزاءري,1
الحقيقه التي لا ينكرها احد ولا يمكن لاي منصف ان ينكرها هي ان امامنا العظيم اعطي للاسلام والمسلمين قوه وكرامه,1
الحكومه عيانه,1
الحل ادويه لكن دون فاءده صرت اشرب العرقسوس فقط,1
الحمد لله اللي هازين راسنا و مكيمن علينا حد الحب زوين و لكن واش دبا نخلي كرامتي و نوض نبغي واحد كيتحاسب علي عصير *فرح* يا الهي,1
الحمد لله دزات ايام صعبه لكن الحمدلله ربي يحفظك اختي العزيزه,1
الحمد لله ظاهره العنصريه ليست موجوده بين المسلمين,1
الحمد لله عالصحه خاي منير نهارك مبروك تحياتي *قلب اخضر* *ارتفع*,1
الحمد لله علي سلامتك ه و الف مبروك تربا في عزكم ان شاء الله,1
الحمد لله كانت من اصعب المبارات,1
الحمد لله لي بعدا قدر يرجع ما كيفاش غاتكمل هاد لفراجه,1
الحمد لله مستوره والله طبعا احمده واشكره ع رزقه لكن مش برفاهيه دي,1
الحمد لله هاد شوف تيفي مكانتش فيامات باش دوزنا الباك,1
الحمدلله *النخيل حتي معا* *النخيل حتي معا*,1
الحمدلله المشكله,1
الحوت العمي فالما نفس الاغنيه,1
الحيااه هتجبرك تقابل ناس ع هيءه دروس,1
الحياه دروس والدنيا تجارب,1
الخ,1
الخلاصه,1
الخلاصه جوج الحواءج,1
الخلاصه ديالو,1
الخوت لا مت عرفو شكون قتلني *وجه الكذب*,1
الخوف خشيه الفاطر الحشمه وخا ما شاءالله علي بال الناس لفايقه كتكون عايقه و ذواقه وفنانه,1
الخووت عاوني الاشتراك علي القناه الله يحفظكم دخلو شوفو الطرااكات,1
الدار البيضاء توقيف مروج للمخدرات والمءثرات العقليه,1
الدراري فوقاش اتبدا الحمله الانتخابيه غا نفرقو الوراق مانبقاوش ݣالسين,1
الدكتور طلع مقموص ياجماعه خلاص عرفت كان بيعمل سين ومبيردش ليه اول مره اشوف قمص بيشيل,1
الدنيا معلم حقيقي لكن هل تتقاضي اجرا كبيرا,1
