target,text
1,Lah yhdik amin inchalah wyhdina amin inchalah ❤❤❤
1,Nawfl nta dryf wlh ❤❤❤❤
1,😍😍😍😍
0,Tafo alik
1,samir tazarin sketch
1,dima toppp
1,3afakom 3awnoni tandiir rap
1,بقالي فخر مغرب
1,Ejbni  concept bravo
1,مسكين مخلوع عندك غير يديرو ليه شي فضيحه
0,شوهتونا باركه من هاد برامج
0,سميره دايره راسها مصدومه هي اصلا كانت خدامه فهادشي
0,مالقيت منقول ديره فيها اديبه ليعطينه وجهك
0,هدا سيد يجب خصو حراسه من شناوا
1,هاد شاب باين عليه انسان ضريف ومسالم مسكين ومكافح وكيتكلم بنيه صافيه  تحياتي ليك اولدي 🤲🤲💕
0,بقا فيا علكلب مسكين غير ضحيه تهوا
0,بحال هدا نوع مخصوش حبس خاص قرطاس
0,شحال ديال تمتيل علي والو فردا هه
0,عطبو لمو اعدام مترحموهش
1,انا في نظري احسن تكوني بيت  لا ولد هاد عصر بنت احسن من ولد .
0,واش قناه كتنشر فساد
1,ما اجمله بي عينيان واش رهي حالته يوم
0,كان جو يولدوا تحير فيهم مغرب 🤣🤣
1,هانا جيت غير دابا  شي دفيعه لقناه ديالي بشي صابوني ، له يرحم والدين .
0,دايره بحال شي جن
0,شوهتو صمعه ديال مغرب
0,لا خويا مسلم علاش اصحبي
0,راه عايش بالحرام عطاه له في حرام خليه في داك عالم غادي اخلد فيها
0,انت فنه تجبي حسن منو موسخ رجال عزيز عليهم ميمات
0,واله الا منوره او امال صقر وجه شر هي وياه وجه شر
0,ولد .. مسخوط والدين
0,كتبقى مسخوط واليدين رخيص ماشي راجل
1,شاب بلال قيمه انت رجل ونص
0,يامسخوط والدين
0,كما تدين تدان يا بلال
0,شواد لا یفكرون  فی جنس من حیوان والبهاٸم
1,انا حلم ديالي نعاود شي عومه فمارتيل
0,تقليد فكره كوميديا شو
1,دراري كلهم في مستوى
0,واله ايلا ناضي هاد اخ صارحه بطوله هيا هادي
1,بقالي رجل محترم والبطل ديالنا
0,دبا عاد عرفت علاش لمغربيات يدعمون ولد شينويه ومولينيكس حيت كان يبعتهم لخليج
0,هدرتو كلها صحيحه انا رجالي كيدير فيزه هدرتو صحيحه لبنت هنا ديرين فضيحه واله وليت نحشم نقول انا من مغرب انا ورجالي
0,شهره لي كانت عندك انت قديمه عند هدا وعند غيره واي واحد خنز بحالك
0,مليح تقعدوه على قرعه باش يتربى
0,مغرب كامل يعطي زكو
0,بنات بوسبير واش يجيك منهم
1,لهم تب على شباب يا رب
0,مسلم مشي اسم على مسمى  نظن بلي عليه شي دعوه تاع شر باش خسر مرته وام ولادو على جال عاهره
0,زسريري يالعروبيه  واله كن كان فيك لخير  ميسمح فيك
1,عجبتني من قال ناس تنسى كما ربياني صغيرا
1,نحترمك ياخي بلال
1,براك له فيك نت عربي ونت مسلم ونت جزاير  وفنان كما  قل خليفي احمد كسكسلو يرجع اصلو
1,بارك له فيك بصح ماعليهش مهما يكون باباك
1,مهما تدير لابوك مراكش راح تقدر تعطيه حقو
1,شيخ نتا بلال تاع صح في كلش لي يعرفك مليح  يتبعك يعرف بلي نتا نيتك صافيه  دير خير ربي يكملها عليك بالخير
1,انت ومالك لابيك مهما كان
1,راك تكدب نعرفك مليح يا سي بيلال
1,مهما يكون ولدين
1,بلال راجل وفحل هدرتك عسل
1,واله تحيرو وتعيو شادخلكم في امور شخصيه تاع ناس لهاو في رواحكم
1,سكنو عندك وتخلاص حكيه
1,ايه كريمه ماشيla phrase جيت تكحلها عميتها
0,على خاطر دراهم حرام يروحو في حرام عادي دراهم ديسكوتك والكباريهات يروحو في اىشراب
1,زيد دير منقوش في نيفك خير انت تعرف ربي بصح تشبه بالنسا
1,مهما كان هدا راه اب تاعك كرهتك من هد هدره
0,مزال ما شفتش فنان وليد فاميليه كامل عندهم قصه مقوده على خاطر حرام يدخله وليد لحرام
1,ربي يهديك ضعف ايمان توب توبه نصوحه
0,شوف تيفي هدا هو مستوي نتاعكم يامثلين
1,لهم مبعده عن حرام
1,بقا فيا هد خينا باينه فيه دوز عداب له يرد بيه  يهديه
1,حسبي له ونعم وكيل ھد ناس مديرينش بحساب لقاا له
1,توبوا الى له لا تبعوا شهوه هي شهوه زااله حتى مال فتنه
1,عز لرجوله له اعزك اخويا
1,له يكون معاك يا هشام حيت قلت حق ربي غدي ينصف مضلوم وغدي يجازي كل ضالم
1,حمد له على نعمه اسلام
0,لي عطا زكو لاهلا افكو له انزل نعله على بحال هاد نمادج
1,له يحفضك من هدا قوم اوليدي هشام
1,ما شاا له  ولا مافيا كولومبيا
1,علاش رجال مكديروش عليهم هادشي تفاهه فهاد بلاد ديره مبغات له يفرج على استاد والرجل حميد مهداوي
1,لا الاه  له . خاص لطلاب اقتلوهم في لبلاصه بعدا ربما ملي اخرج ارجعوهم ليه راهم متلكات ديالو
0,له حتى ولات سيبه في بلاد
1,ناري هادو خضاره ديال بن جديه له اعمرها دار .
1,له ياخد حق في كل ظالم مفروض حكم سنوات سجن مع اشغال شاقه
1,له كون في عون رجال امن مكيعرفوش راحه زااد على هدا كيغامرو لحياتهم
1,هد ناس شكون يعوضلهم خضره  لا حول ولا قوه  باله  مربي كلاب  يتعدى على ناس  طبقوا قانون والقصاص
0,لعن له متشبهين من رجال بالنساا ولعن له متشبهات من نساا بالرجال
0,لعن له متشبهين من رجال بالنساا ولعن له متشبهات من نساا بالرجال
0,تشجعون على مثليه ياقناه عهر يا اولا ساقطات تحرضون على مثليه يا شوف خيخي
1,وش صار في عبير  له تكون بيخير
1,حمد له له يفرج على جميع مسلمين والمسلمات والمامنين والمامنات احياا منهم والاموات الى يوم دين صلى له عليه وسلم له يبارك فيكم يارب عالمين
0,كاتنشرو  دعاره حسبنا له ونعم  وكيل  شف  خيخي  له  يخد  فيكم  حق  ياقناه  وسخ
1,له يحسن عونالبطاله هي سباب
1,لاحول ولاقوه اباله علي عظيم
0,جهنم حمره تستنهم
0,شحال من زباله تبنى فيها جامع له اعفو عليهم وياخد حق فلكان سب تهميش ونشر فساد في بلاد
1,هل هد واقع مغرب لادن هد  لاحوله ولا قوه اباله
0,لعنه له على بوكم  شوف تيفي  نساا مغربيات اشرف من شرف علاش تلطخوا صورت بلادنا علاش
0,حتى انا دخلات  حياتي واحد خرابه بيوت فحال دك امال صدر له ياخد فيهم حق
0,له يبين حقك يارب امين اجمل منها بكثير دابا ربي يبين حقك فيهم ان شاا له طوال زمان ولا قصار
0,له ياخد فيها حق ان شاا له  امال صقر او مسلم يارب امين
0,له ياخود فيهه لحق
1,هده رساله من له يكم جميعا
1,تبارك له ماشاا له شحال زوينه فنه
0,انا مكانتبعاهش لا مسلم ولا خطفات راجل ان شاا له يوقعلها كي دنيا بطما مغنيه كباريات له ياخد فيهم حق ان شاا له
1,كي كبر عرفو  معليش شرا ليه  ضيار اوبعها يستعمل حيله مع بلال هه منين فرج عليه رب بان  لبوه
0,شوف خيخي تجيب غير زبل بحالها له يمسخكم
1,لاحول ولا قوه  باله علي عظيم ياربي ايهديك لطريق مستقيم وترجع توب توبه نصوح وكتدير خير وقلبك ابيض له يغفر دنوب كلها
1,سبحان له هدا نوفل من عند له قلبو طيب وكيعرف له
1,Mezan
1,🪐💫⭐️🌟🌟
1,🐧🦋🦋🦋🦋
1,Mlih
1,❤❤❤❤❤
1,❤❤❤
1,Bravo
1,❤❤
1,❤❤❤❤
1,🔥🤣
1,❤❤😂😂
1,❤❤❤
1,خادي نخرج عن موضوع عطو لسيد كرسي مريح شويه ساعه  هو جالس يتكلم على اعصابو  كملتو عليه طبيسل لي جالس عليه له يعينك
1,يجب  على  سلطات  مختصه  فتح  تحقيق  في  موظوح  وهاته  فظااح
1,هاه  اعلن ثوبه  اهاه
1,لهم لك حمد وشكر .. افضل فقر  وغسل سيارات وحفر طرق  ولا  هده  اعمال قدره تى تنزع  بركه وكرامه  انسان
0,خاص امن يجربو على هدك مجرم حتى هما يحرشو عليه كلاب كتخريف ليرى ويدوق ما فعله بهولاا مساكين
0,يجب على مغرب تطبيق شرع له على هالاا بقطع يد  فلم نرى اي تطور ولا نتيجه تاتي بها سجون بل سجون تزيد من جريمه ولا تغير شيا في مجرمين
0,واله لو يطبق شرع له بقطع يد سارق واله لن تبقى مثل هاد تعدي على ناس
0,كنتمنى هاد شفار يكون رشا فالحبس وطاحولو سنان وهرس لمو رجل شمجرم اخر فالحبس  ونهار يخرج تعنقو مقطوع ليها فران ومشرجيه ولاده هبطه  امين يارب عالمين
1,له يحفض رجال لامن تستحقون كل لحترام اتحي سي حموشى اتحي كبيره لامن وطني
1,مغاربه لحقت لدرجه لا توصف نسال له سلامه  عفيه
1,له يحفظ امه محمديه يالطيف طف بعبادك قوم لوط وبغيت له ايبارك في بلادك
1,كم  من  انسان  لو  اتيحت  له  امكانيات . لقالقوله  سديد
1,تستحق عبير ان تكون خليفه امير مامنين باله حيت ان مغاربه مولوعين بفعل خير سيكون هدا رمزهم قادم لا اماره مراكش
0,قوم ملعون اسرع بعلامات ساعه ادا ابتليتم فاستروا حتى لا تنشروا رديله في مجتمع ان له وملااكته ينضرون لاعمالكم حتى يحق عليكم قول
0,كول نساا مروك سقيطات بي لا منازع
0,قناه خزي والعار بهدلتو بينا وبين بلادنا قدام اعداا
1,لهم اهديهم  سراطك مستقيم  واغفر لهم واعفوا عنهم  واجعل لهم حياه كريمه طيبه
0,اخوان بلغو على هده قناه جزاكم له راه مشكيل ماشي فهادو صحاب دعاره مشكيل دل دوله لي سامحه فيهم
0,ستروا سوفاهكم من زغبه من لحياكم لاحوله ولاقوه  باله علي عظيم
0,اسمها صقر اسم على مسمى والطاار صقر لص وغدار ويقتل ويصطاد فريسته بمتيار وهدا ما حصل مع مسلم
0,رجل جزااري والمغاربه بوقاحه يحشرون انفهم في موضوع
1,والد شاب بلال في دمه له قبل ايامانا له وانا اليه راجعون
1,حقيقه ان بالوالدين احسانا ولكنك  قمت  بواجبك  امام له لهدا لا دنب  عليك  اتركه  لضميره
1,فعلا لا دنب لك  ان له  ايضا اوصى  والدين  بالاولاد  ادا كان مدمنا ما عليك
1,مهما اعطيته فهو والدك فلن توفيه حقه لهم استر عاقبه
1,مهما كان ابوك من صلبك يجب عليك احسان به وتعطف ومتكونش حاقد والدنيا فانيه عندما يموت ستندم وتريد احسان به ولم تره
1,والدين مهما يديروا رادمه لكن له حاما مع والدين وما حاماش مع اولاد
1,بلال ناس ملاح وصادق في كلامه  له غالب ان شاا له بوه ينعل شيطان ورب يهديه
0,اودي معيشه غاليه  قناه خرى تاع شوف طيفي ولا خوف طيفي كاتجيب تفاهات وهاد خدامه تاع هاد قناه كايخدمو خرى
0,جهر بالمعصيه من كباار  يوم ما يموت هدا جاهل من سيغسله رجل ام انثى  لعنه له على هالاا ميكروبات
0,له ايرد بيك اخونا نوفل راه لعن له رجال متشبهين بالنساا ولعن له نساا متشبهات بالرجال ولعن له من يفعل فاحشه زنا والواط
1,صوفيا انسانه رااعه حساسه جدا تعرفت عليها مرهوتلقيت بها في اسطنبول تدير خير وتصدق علا ناس نتمنالها خير والرزق وربي يهديها ويهدينا اجمعين وربي ينور طريقها لحق يا رب امين
0,ام . وجهو صحيح لعنه له على امثالكم
1,لاحول ولاقوه اباله علي عظيم لهم استرنا فوق ارض وتحت ارض واستر اولادنا وجميع اولادي مسلمين امين يارب عالمين والصلاه والسلام على نبينا وحبيبنا محمد
1,اطلب لك هدايه يانوفل انه سميع دعاا لهم رده الى طريق صحيح
1,في فقره تقليد عليك هناك احتقار لنجار تحيه لكل نجاري فكاهه ليست بالتنمر ابداع يجب ان يكون سليما
0,Hadchi khatiiiiiir la hawla wala kowata illa billah
0,لا حولا ولا قوه الا باله علي عظيم اش من احترام لناس اوسخ موضوع انتي اكثر منو
0,لا حول ولا قوه  باله علي عظيم  لهم من هدا منكر
0,🙀🙀🙀🙀🙀
1,بسم له ماشاا له
1,له افجيهاعليك عندك حق
1,مشاا له تبارك له له يوفقك
1,له ينصرك عليهم او هما له ياخد فيهم حق فهاد عواشر ان شاا له يارب
1,ختي ربي فك منو له يعوضك
1,له ينصرك او يعوضك خير او هما له يخرج فيهم برهان او متن امين يارب عاجلا
1,له يرحمهم ويسكنه فردوس مع سيدن محمد
1,انت فحل  او جدك ربي يرحمو او يغفرلو  ان شاا له تلق طريق  يرضى عليك ربي بها
1,له يردك ويردنا الى له ردا جميلا ويهدينا اجمعين يارب
1,اسال له عظيم رب عرش عظيم ان يهديك وترجع كرجل بمعنى كلمه  يارب
1,لهم اجعلنا من مقبولين يارب
0,له يغبر ليك شقف
1,له اهديك ياربي
1,له يرحمك ياربي اخويا ويغفر لك له يسترك ياربي
1,له يوفقكم برنامج فكاهي
1,3afakom layrhm lwalidine li kay3rf chi tbib  agadir kaydir  ijhad idwi meaya
0,Komcha dyal 9wawid chawahtona fal3alam
1,Maddah  masskin  kan  victim ... bab  attaouba  maftouh  tab  ila . allah  allay  yahfado
1,Walahita bekit  mesaken leklabe  Allah ye3tih le3adab  3adeb hadok leklabe me3ah  mesakine daba ghadi yeoatlouhom  hit kifach  terabaw  Allah yakhod leha9
1,Macha Allah zwina onota katb9a fl9lb 🖤🦋🦋
0,Anti jayha rohi nahi hijab wa dakhli rani  tkahabni kima hiya rjal walawww habou kahbattttt
1,Bilal ansan rajal wafhal waljazayar kamla tahbou huwa louksijan dayalna
1,Tlobe lihe 7osne alkhatima we sma7lihe ina allah ghaforone ra7ime
0,3ad dkhalo matakhrach arifi ahari a9at dirahbas rojola nta tbaa rjal
0,Wa sire tchouf 3la men tekdeb Lah ye3tek l7ebs
1,Lah yahdik awaldi walah 7ata nad3i m3ak Bach Rabi yahdik 9abla fawate lawan li ana lmoute yatarabasse bkitini awaldi rja3 ltri9 lah awaldi
0,I9tel 3adwa alh inhe min 9awm let ihra9eh binar
0,Kolchi zwin heta dkhel dak robot ygheni . Tkherbi9
0,Kat9ate3 syd bzf khaso hta ykml hdrto 3aaad hdr asshbi nta fik hdra bzf wehamed
0,دابه عاد جاتكم غريبه بنات ياخدم في امارات في دعاره وراه هدا شي معروف او بنات هما يبغيو يمشو
0,مغربيات لا وبعد يتنكرون يعني سعوديات بمواقع تواصل اجتماعي ويحطونها فينا يع بربريات يع اسوا بلد افريقي في عالم 👨🏿‍🦱🇲🇦🤢🤢
1,Bilal dima hnin  9elb kbiir hwa ma rbaksh walakin mashi moshkil lmusamih karim
0,اسمع يا خراى هداك باباك راك عارف واش هو ابوك معنتها طيعوا حتى وهو فاسق يا بلال اكير شويه في عقلك راك صغير
1,كيفاش جمهور كلو عباره عن فتيات 😍😍
0,هدا مو خاصو اعدام
0,وحش كيربي وحش
0,تصاور والمهرجان على شفار واحد
0,خامجات .
0,فساد هو ليفي برنمان
0,خنز قيقلب على خنز بحالو
0,خلي بنادم يحوي اصاحبي
1,عمر انسان ميحكم على مضاهر بيوت اسرار
1,🕊️🕊️🕊️🕊️🕊️🕊️
1,بلال جوابو علي لسانو
1,حفظك له شيخي بلال
1,بلال رجل فحل مول خير
1,خوي بلال غدي تربح اخيره انشا  له
0,تبا كل شاد
0,شوف خيخي هادي ماشي شوف Tv
0,قنات صرف صحي
0,قنوات عار والكدب
0,عرفنهوم كايكدبو
0,تخولت لمراه شكون غادي تنيك معاك اصلا
0,وديع ضرب يدو بالموس
1,داك خونا دار سكيتيش ناضي 😂😂❤
1,🧚‍♀️ keep going
1,واخيرا برنامج خارج اطار لحموضه
1,احسن برنامج هد عام ❤😂
0,هجومات حمض
1,سمير تزارين واعر
1,احسن برنامح  2م 😂❤❤
1,احسن برنامج هد عام ❤😂
1,احسن برنامج  لاحسن بطل مغربي
0,له يعز مخزن  خاص مو فران هد مكروبات بشريه عافيه
0,تحيه طيبه لرجال امن 🦁🇲🇦❤️
0,قنوات صرف صحي شوهه TV
1,يارب طهر بلد مغرب والبلدان عربيه اسلاميه من فساد
0,مغرب بلاد دعاره رقم1 في عالم
0,دعاره مروكيه شعب ديوت
0,مهلكه طناعش قرن هه مهلكه دعاره  حشيش
0,مغرب مرحاض عالم
0,لماد صادم فالمغرب معروف مند عصور انه بلد دعاره والمتعه جنسيه مرحاض افريقيا
0,مغرب بلد سياحه جنسيه
0,مغرب بلاد دعاره
0,راه رجعتا مشهورين دبا بدعاره رجع شعب ياكل بيلح لحن بناتو اش باغين هدي هيا حياه واقع مر شوهتونا رجعو يقولو مرحاض عالم 🇲🇦
0,دعاره مغربيات لازم تسجيلها في يونسكو
0,بلاد امير قحاب
0,ملكه دعاره  سياحه جنسيه جنس اطفال فقر تطبيع عبوديه دل تسول كدب ركوع لغير له
0,باع كنز او شرا خنز طز
0,درك محتواه مع ساري كول تاع دعاره  قمه انحطاط
1,اول مره كنشوف صحفيه تسبق عمل فرقه وطنيه وتعطيه ضمانات نيابه على مصالح مختصه
1,كيفاش عندو موعد مع فرقه وطنيه وفي نفس وقت شوف تيفي يستنطقه قبل فرقه وطنيه
0,هداك نوع من كلاب خطار على مجتمع خصو اتربا له اعز مخزن ناس تقهرو من بحال هد اشكال
0,يجب منع بيع مثل هده انواع من كلاب وهدا مجرم تطبق اقسى انواع عقوبات شموري
0,ضربه كتجي غير فالكلاب مساكن  سواا كانوا كلاب ضاله او يوظفها مجرمون في مثل هده اغراض اجراميه
1,تحيه لرجال امن بلا بهم غناكلو بعضنا بعض
0,بقا غير لكلاب مجرمون والكلاب تنبح له يعز امن
1,تحيه لامنا حبيب . بدونكم يصعب عيشنا . حفظكم له ورعاكم .
1,مفروض على دوله تقن اقتناا كلاب برخصه لحراسه او لاصحاب مزارع
0,ناشر فضااح كالفاعل سوا بسوا بالدنب
0,فلجزاار اعدام لي قدم طفل لاغتصاب فلمغرب عادي باش يخلو لخبز لفقر
1,کاپن غپر امراض والپدا راکم تمرضو صحتکم والصحه متعوضش وخا تخسر علپها مال قارون مپنفعش له اعفو علپهم پارب هاد فپدپو قدپم بزاف انا شاپفاه من شحال هادي 🤲🤲🤲🤲
0,هه مراركه والفوحه والخماج
1,مسلم في حقيقه ضيع جوهره من ايدو واله انسانه مثقفه ورزينه محترمه متخلقه ولكن ربما فيه خير  اختى ربي كبير
1,علاش ديما كتردو لوم على طرف اخر وتقولو وحده لصقات فالراجل مكيعرف بين مراه والرجل غي له ربما بيناتهم مشاكل وطلق ولا مبقا حب
1,ربي معاها خيانه اصعب خيانه رجل من اصعب امور
0,نتمانوا يجدد هاد موضوع يتكلم فيه من جديد باش تاخد هاد مراه حقها من خطفات رجال او لهددتها تحط صور ديالها
0,نتي رزقك عند له وهداك مسلم ماشي راجل شماته  امل صقر امراه ساقطه ومسلم ديوتي
0,زوجه اولاماشاا له حسن من هدك امال صقر  له ينتقم منها فرقتك معارجلك
0,تبرك له مراتو غزاله  ومثقفه ومحجبه وباز لهاد رجال  زاني  لاينكح    زانيه  وحرم دالك  على مامنين
0,ربي هناك من عالم حرام ربي يعوضك شخص ماله حلال لان موسيقى  غناا مجال كله مشبوه  مختلط بالحراماحسن ليه خدا وحده من نفس مستنقع
1,راك تخرط ماتخلطتش  ولا تقل لهما اف ولا تنهرهما وقل لهما قولا كريما .) انسان يتاكد من بعد يقار قران شا نقلك خطيك من غنا
1,ماشاا له شاب بلال نعم تربيه  نعم اخلاقوفق له في مسيرتك فنيه  في حياتك شخصيه انشاا له
1,ان جااكم فاسق بنبا فتبينو عسى ان تصيبو قوم بجهاله وتصبحون على مافعلتم نادمين  وله في خلقه شاون ويا سي بلال بوك يقعد بوك وماتفتيش من راسك
1,قران كريم كلام له فيه ايات وسور مشي phrase
1,مانقولون على قران لفراز يا سي بلال نقولوا ايه سابقه ربي يهدينا ويصلح حالنا واحوالنا من جهه والدينا ومن جهه دين والقران
1,واله عظيم شاب بلال مطهلي فالوالد ديالوا مزيان  هده شهاده له
0,له يعفو عليك  يرد بك من هدا حاله مزيفه سياه  كتقلبي غير على مال  نسيتي لا دين لا دنيا لا مله حطب جهنم
1,له يتقبل توبتك والناس انساهم مهم انت والي خلقك
0,هدي مطيشه له يستر نهار وهيا تفضح وليات مغربيات واله حرام عليكم مطيشه تقي له
0,شعب مقود مزطول مثلي على شاكله ميمي m106 والشعب هدا لا حياا ولا حشمه ولاشرف
1,كل شيا قريب عند له ماتشوفش ناس شوف له ولايدوم  وجه  له والتوبه بابها مفتوح
1,واله كانت عندي نظره خايبه على صوفيا ولكن هواطيب خلق له متواضع جدا له يردو  مستقيم خصوصا فاش سمعت هاد حوار ديالو
1,صراحه لازم يكون تحضير اكثر  اساله جديده نعرفوها على ضيوف
0,قضيه حامضه
0,ولاه يا ولدي قرعه تستنه فيك
1,خاصو حمايه
0,شوف تيفي حماره
0,Homar wada malo
0,👹🐕🐕
1,زوين بزاف تحياتي لك اختي
0,قناه انحلال
1,جمالها جمال ❤️❤️❤️❤️❤️🇧🇩
1,لي فرحاتني  ابوني له افرحها دنيا واخره
0,هه
1,ملكه شريفه
1,ملكه مغربيه شريفه
1,احسن دوله فالعالم
1,كتبان انسانه محترمه ومقبوله
1,جمال طبيعي مشاا له
1,تحيه لشاب بلال
1,ولاد حورمه ❤❤
1,بلال عنده حق
1,يارب سترك
1,زوينه دخله ديال بقالي ❤❤❤❤
1,حلقه ناضيه
1,احسن حاجه فيكم زينه عفويه تبرك له عليكم
1,احسن برنامج
1,بقالي ضريف ومربي نتمنى لو توفيق والنجاح ♥️♥️♥️
1,هو ولد  حومه
0,ناري على حموضه
1,Kolna hicham lmdah
1,😢😢😢😢 miskne
1,Tahia rijale amen watani fi mokafahat jarima wa tojare mokadirate
0,3tiwni saha kolha lihom yachmata llah in3lal
0,L3robiya HTA ntoma 3mrto swaa9
1,"Yahya ,,, rijal ,,, achorta "
0,Britnaraf alach katwiriwna had monkar
0,3TiiiiWaH YKhDeM YN3aL Booo MKoM
0,Had chouf TV rahom wlad la9khab  taygolo linass diro lik9ah Na3lato lah wa3la walidihom
0,Smhti fbnt nas oditi 9ahba lah imskhak oy3tik dnob dok lwlidat nta ihodi machi moslim ajah lblk
0,Had Amal sa9ar daira mabrat
1,Akhti Nabila ntina kadhammak bzain baka sghira  fenna sla ala nbi
0,Rabi khalas fiha charfa ayba amel sakrrr
0,ya rabí salama had chof TV ta ljaza2ir tba3toha hhhh tfooo
1,Na3lo chitan yanase bilale wld familya we y7cham
1,😘😘😘😘😘😘
0,Hado kaas ita3dmo ach kijibo gir sida  choha li Maroc Iran i3dam hom live
0,Amin yarab trfar laha wtjalha mna tawabin ❤❤❤❤❤
0,WACH ANA MRIID WLA HADCHI 7AAAAMD    !   !!
0,اش هاد خرا من مديعه لضيف كمرا مان لمشاهد كلكولشي 😂😂😂
0,كما قال شاعر مغربي لي عطى زكو لهلا يفكو مغاربه لخر يطفي ضو غادا وتقواد فهاد لبلاد عيش نهار تسمع خبار له يدينا فضو
0,حت هادا خاصو امشي يتربا علاش بقا ساكت هاد وقت كامل
0,ساال غبي ودكي من  صحافيه  رضى واش كيدير اتجار في بشر في مغرب      ؟     ؟؟؟؟ بحاله زعمه لي كيتاجر في بشر خارج مغرب مسموح      !     !!!!
0,كلب كم تبعوليا
0,له يلكيها ليكوم فيما كنتو يولاد قوادات كلب اش دار ليكوم
0,دابا شدو كلاب وهو ماشدوهش 😳 كلاب لي كانوا كيحرشوه ويحرضوه  صافي فهمت دابا
0,اصحاب كلاب زيدهم على كحول افارقه
0,نتوما كاملين غلبكم كنتو تشدوه هو وكلابو والفرشخوه مزيان باش معمرو تعده على ناس
1,ركيموت بالجوع مساكن ارحموهم مساكن
1,احمو كلاب والقط راهم كيحسو بحال بنادم
0,ولد مسخه معندوش حتى فين ينعس  مربي زوج كلاب خص لحماره مو شي سلخه ديل لعصه مزيان
1,كلب مسكين عايش في محاين معاهم
1,ظاهره كلاب في كل مدن وفي شوارع
0,سيبه والهيلا عبرو عليه كنتمنا مجرمين يموتو
0,اش هد ماراض اش هد كريثه اش هد سيبه هدشي جابو ردع والعدل والقانون مكاش وحتى ادا دخل يعطي فلوس ويخرج صافي بلاد مشات خلا
0,هه تحسب ايسكوبار قالك اخطر مجرم مخزن نمله رجعوها فيل مادنب كلاب يا كلاب مخزن
1,كلب مسكين مادار وال صاحب هو لي خاص بحال هديك سلسله
0,خاص دوله تمنع موطين من تربيه كيلاب حينت كي يسرقو بيهوم تفو
