"index","comment_message","sentiment","comment_published"
"16","كيفما كان الحال بنكيران احسن رئيس الوزراء. او ذاك لغدي يجي معمروا يكون حسن من بنكيران  الا اذا بدلنا الناس انتاعنا بالناس انتاعناه الصين.","P","2016-10-01 02:23:54"
"17","أتحدى أي حزب ان يفعل كما فعل بن كران كلهم يبحثون عن مصالحهم ولماذا أنشؤ حزب الاصالة والمعاصرة لكي يكونو أشواك أمام بن كران","P","2016-10-01 02:42:43"
"18","البيجيدي أولا والبام ثالثا...الخواض من دابا ..الشفافية و المصداقية البيجيدي هي التي ستفوز.","P","2016-10-01 02:52:29"
"19","انت افتخر بابوك لي طالق واد ديال الفلوس من وزارة الخارجية بحال الى حتى واد من شباب المغرب ما يعرف يقول هاد جوج كلمات","N","2016-10-01 02:54:01"
"20","إن كان أحدهم يأمر بنكيران فلا جدوى من الانتخابات إذا....
كفى من التناقض الدستور الذي نخضع له ينظم الاختصاصات...","N","2016-10-01 02:54:02"
"21","من حق الباميين ان يحلموا فلا حق لنا ان نمنعهم من احلامهم  وهم يعرفون انعا ليست وردية على احال الا متمنى الحا..........ق اموت كما قال الاولون","N","2016-10-01 02:59:57"
"22","بغيت نعرف غير بنكيران 5 سنين هادي شنو دار زاد دمر الفقير حيت هو لقدر عليه وستمر فسياسة القمع حسبي الله ونعم الوكيل","P","2016-10-01 03:36:28"
"23","نصوت لمن يتنازل عن راتبه و تقاعده و كل الإمتيازات  التي توفرها له الدولة، حتى يكون نعم البرلماني و الوزير و يجعل من حكومتنا مثلا يحتدى به بين الدول","P","2016-10-01 03:49:32"
"24","كونوا حياديين ...لهاذه الحكومة محاسن رغم كل شيء.","P","2016-10-01 04:14:33"
"25","شكرا لبنكيران لانه اقتطع من راتبي  ولاية ثانية انشاء الله","N","2016-10-01 04:14:36"
"26","التقاعد اللذي كانت قد نهبته حكوماتكم السابقة","N","2016-10-01 04:15:08"
"27","لماذا لا يتم اقتطاع من رواتب البرلمانيين و الوزراء و الذين يتمتعون بتقاعد سمين مدى الحياة على حساب المواظن المقهور هم اولا بلاصلاح و تخفيض الاجورهم","N","2016-10-01 04:22:41"
"28","حنا المغاربة والله مكنسواو شي ريال في هده الدولة","N","2016-10-01 04:32:41"
"29","نصوت لمن يتنازل عن راتبه و كل الإمتيازات  التي توفرها له الدولة، حتى يكون نعم البرلماني و الوزير و يجعل من حكومتنا مثلا يحتدى به بين الدول","P","2016-10-01 04:32:58"
"30","لي ماعجبوش البكاء ديال بن كيران أنا بغيت ليه 15 سنة ضحك ديال العماري، آمين يا رب","N","2016-10-01 04:35:39"
"31","يمشي يقتاطعها للبرلمانيين و الوزراء ماشي المواطن المقهور","N","2016-10-01 04:40:24"
"32","احسنت القول ديما بنكيران","P","2016-10-01 04:46:26"
"33","واش لكيبيع البيض والنعناع ممزيانش
ولكن التعليم ديلكم لناقص من ثأثير الحكومات السابقة","P","2016-10-01 04:46:39"
"34","هدرة خاوية بنكيران زمطكم وفضحكم وقال للشعب ها الأعداء وها الشفارا وهذا إنجاز عظيم أما الوضع المغربي لن يغيره بنكيران وحده","P","2016-10-01 04:54:56"
"35","سير شوف رجال الدولة ديال بصح a zb","N","2016-10-01 04:55:22"
"36","كاملين بيوكوم عنستفكوم من فوق شواية الا بنكيران هو الفاخر","N","2016-10-01 04:58:23"
"37","ذا الخبر بيستاهل مليون جنيه وهي من ابرز انجازات الحكومة بكرة العالم حيحسدونا يا جذعان !!!!","P","2016-10-01 04:59:25"
"38","أخويا خودها و ماتمشيش تصوت هههه، راه تاحنا خاصنا نتعاملو مع السياسيين بالسياسة ، يوليو هما لي كايتشكاو من الشعب ماشي حنا 😄","N","2016-10-01 05:00:04"
"39","جاوبني علي هاد السؤال 
علاش ما اقتطعش من البرلمانيين و اقتطع غير من الموضفين 
و ولي تزم و دوي علي راسك","N","2016-10-01 05:01:53"
"40","أي مغربي أو مغربية في السعودية تعنف وتظلم وتعدب وتقهر وتحقر دولة ظالمة لا للظلم للمغاربة الموجودين هناك لماذا يستحقرون المغاربة","N","2016-10-01 05:05:12"
"41","جزاك الله كل خير و لكن اينما رحلت و ارتحلت كاين الزوين و الخايب الله يهدينا و يهدي جميع امة سبدنا محمد و تحة ﻻغلى ناس الجزائر ناس الهمة و الشان","P","2016-10-01 05:10:20"
"42","ونتو في الجزائر ناس الهمة و الشان و الدوق الرفيع الله يجعلنا نتﻻقاوا في ساعة الخير هناك في الجزائر اخوانا و اخوتنا و احبابنا لي عندنا مدة ما شفناهمش","P","2016-10-01 05:15:07"
"43","تحياتي واحترامي لكل المغاربة الأحرار والشرفاء ربي معاكم","P","2016-10-01 05:17:07"
"44","شكرا اختي انا شخصيا نبغيكم ونعزكم انتم شعب ذواق واتمنى من كل قلبي زيارة البلد العظيم وتبا للسياسة اللي خلقت النميمة","P","2016-10-01 05:23:55"
"45","العدالة و التنمية بغيتو و لا كرهتوا","P","2016-10-01 05:39:55"
"46","عندك الصح #جميعا_بنكيران","P","2016-10-01 05:41:59"
"47","نريد التغير يا اخي . شخصينا لم نرى التغيير في هذا الحكومة . نفس حالة فقر و البطالة لي كنا فيها مزال فيها .","N","2016-10-01 05:48:52"
"48","#مامصوتينش. وسير المرايقي عجبك التهريج ديال بنكيران","N","2016-10-01 05:52:31"
"49","الله يحفظو في ظل حكمه عرف المغاربة عزة النفس والهمة العالية .","P","2016-10-01 05:53:13"
"50","و باز والله مكتحشم.بنكيران كيمص دماء ديالنا.ودا لينا رزقنا. الله ياخد غيه الحق هو واتباعه","N","2016-10-01 05:58:20"
"51","قمة التواضع و نزل هو من بعد لعروسة 😍
 الله يحفظه و يحفظ الشعب المغربي و المملكة المغربية من كيد الحاسدين ❤","P","2016-10-01 05:58:25"
"52","هاد قطاع متضهور هدى زمان من حوكومات سابقة لأدات هاد الوضع و اصلاح خاصو وقت و خدما ماشي تعمرو شعب على هاد حكومة باش توصلو فاسدين","N","2016-10-01 06:02:11"
"53","استمعت لخطاب بنكيران وصل المضمون قام بإصلاحات جوهرية غير ظاهرة للمواطن  في الحقيقة الناس خدامين مع أحزاب أخرى وكيقولو سنصوت للعدالة","N","2016-10-01 06:07:57"
"54","الحكرة على الطبقة الفقيرة ، مالها ما اقتطعت الوزراء والبرلمانيين مثل تونس هههههه","N","2016-10-01 06:15:17"
"55","فضيحة العماري الشعب المغربي كافر http://adf.ly/1eRr5f","N","2016-10-01 06:40:46"
"56","حسبي  الله  ونعم  الوكيل  فالوزارات","N","2016-10-01 06:54:50"
"57","بنكيران مطيع و وفي لا يقول لا لأسياده !","P","2016-10-01 06:58:19"
"58","بنكيران غادي في الطريق الصحيح نحو الهاوية","N","2016-10-01 07:08:44"
"59","احيد تقاعد الوزراء و النواب و المستشارين و احاسب اللي شفر اولا بانو ليه غير الفقراء و الموظفين الصغر","N","2016-10-01 07:10:15"
"60","فلسطين من الدول المعترفة بالبوليزاريو و هذا شيء معروف لدى الجميع بإستثناء العقول المسلوبة فكرياً !!","N","2016-10-01 07:13:02"
"61","البام بمساعدة الداخلية والاستخبارات","N","2016-10-01 07:23:53"
"62","ديما بنكيران والله لن تنزعوا حبه من قلوبنا","P","2016-10-01 07:27:03"
"63","عندهم الحق و نوص شكون غدي و ضفوم الا موضفتمشي الدولة مشكلة حياتو مشات ف قراية و فاﻻخر يضيع","P","2016-10-01 07:32:47"
"64","يجب تعميم البادرة و إعطائها شكل قانوني من الدولة","P","2016-10-01 07:42:34"
"65","على اساس بنت بنكيران عندها القدرات او الدبلوم اللي كان مطلوب الله ياخذ الحق في الظالمين","N","2016-10-01 07:51:08"
"66","عاش محمد السادس الله حفطو لينا","P","2016-10-01 08:16:29"
"67","لم تجد حكومة ابن خريان سوى الحائط القصير","N","2016-10-01 08:20:25"
"68","الناس قراو باحديه مقطعه ونجحوا وراهم في مناصب عليا الفقر ماشي عيب ولا يسبب في امراض نفسيه الفقر هو الفكري والمعرفي","P","2016-10-01 08:27:29"
"69","دابة هاد الشخص الانسان الي بشر و مواطن ماعندوش الحق يتعالج علئ نفقة الدولة-اعطيوه غير حقو من الفوسفاط-اولا خاصو يكون شيخة باش يلقئ الاهتمام","N","2016-10-01 08:39:26"
"70","الملك محمد السادس نصره الله يحارب العنوسة في المغرب بطريقة إسلامية  .
هذا هو العنوان الحقيقي لهذا الفيديو ♡","P","2016-10-01 08:45:06"
"71","المغرب،دولة متخلفة بكل،المقاييس.زعما الدولة مسكينة عندها الكريدي،بزاف.ولكن اين هي،الثروة بطبيعة الحال،موجودة في،بنوك سويسرا","N","2016-10-01 08:46:23"
"72","من قال الدولة مديونة اني اعتبر المغرب من اغنى بلدان العام  بدليل الفاسدة لا يحاسب بل نزكيه","N","2016-10-01 08:48:38"
"73","زعما الا نجحو شي حزب آخر الدين الخارجي كله غ يتخلص ....شكون غرق البلاد في الديون من غير الحكومات السابقة هم السبب في كل هذ الشي","N","2016-10-01 08:50:37"
"74","عيتونا اش داكم الى بلاد الكفر مازال فيها سياسة الكفيل سيروا للنصارى هم ارحم البشر","N","2016-10-01 08:57:48"
"75","لممصوتش يبان هنا نشوف ولاد لبلاد الأحرار [[PHOTO]]","N","2016-10-01 08:58:32"
"76","اذاكانت هناك مغربيات ارتمو في بحر الدعارة فذالك ناتج عن سوء التسير للحكومة وكثرة البطالة وسوء تفريق الثروات فلاداعي لنسفه احد نقول الله يحسن العون .","P","2016-10-01 09:08:57"
"77","بنكيران رجل صادق 
نتمنى له التوفيق","P","2016-10-01 09:13:07"
"78","الدموع للبسطاء في العلم نحن من الآن لم نقبل برئيس الحكومة نجحت على ثقة 5 شنوا انفروا خلافا..وإن لم يعمل شيئا برا 3 أشهر والمحسبه","N","2016-10-01 09:13:46"
"79","حكومة زفت من اوصلت التعليم الى هده الكارثة
بن كيرن ارحل","N","2016-10-01 09:17:48"
"80","عاشت اسرائيل الدولة الديمقراطية  وعاشت الانسانية في كل بقاع العالم والموت لكل عربوشي خائن","P","2016-10-01 09:18:52"
"81","ازولاي  يهودي  شيء عادي  ان يحضر  جنازة  الرئيس اﻹسرائيلي السابق  لا تخلطو  اﻷمور الشخصية   بالسياسة","P","2016-10-01 09:48:48"
"82","انتضرو حتى ينجحون ويلجون قبة البرلمان ونتشاورو واش نبيعوهم لصين ولا لا هههههه","N","2016-10-01 09:55:09"
"83","ههههه نطالب بتدخل الدولة لحماية قطيع الحمير لانه لولا الحمير لما بقي الحكام في اماكنهم الى الابد.","N","2016-10-01 09:56:40"
"84","نطلب من صاحب الجلالة الملك محمد السادس ان يتدخل كما عودنا وينقد هذه الفتاة","P","2016-10-01 09:58:25"
"85","أختي Soumia El-jaadaoui Soumia شعار المملكة في صفحتي ما هو إلا دليل على انتمائي و غيرتي  للمغرب كمغربي ....شكرا","P","2016-10-01 09:59:21"
"86","الله يبليك اكتر من بلوتهم ، و بنت بنكيران لالاك انتي الي دايراها فراسك و تتهدري عليها يالمنافقة اما احنا رزقنا عند الله ماشي عند احد من عباده","N","2016-10-01 10:12:33"
"87","ههه تبارك الله غير نتا لي كبيير وكتفهم كرهتونا فهاد السياسة","N","2016-10-01 10:15:46"
"88","سلام عليكم سكان حي الملاح ان شاء الله بالتراكتور. والبام غادين نبنيو ليكم ديور جداد فوق ريوسكم","N","2016-10-01 10:33:10"
"89","يجب على الحكومة ، ان تمنع البنات من الذهاب الى دول الخليج بشكل نهائي ، طيحو من قيمة المغرب الله يخليها سلعة","N","2016-10-01 10:34:31"
"90","ادماج السلفيين في السياسة جاءتنا بايعاز من امريكا لكي تضعنا تحت تصرفها وان رفضنا اوامرها تحركهم كما تشاء..والبقية ركم فهمتوهااااا","N","2016-10-01 10:53:40"
"91","من دابا البرنامج ديال الحكومة المقبلة مسطر !!!!! ماجدوى الانتخابات اذا ؟؟؟؟!!!!!!","N","2016-10-01 10:57:39"
"92","خاص فبراير كوم ونون بريس وشوف tv وبرلمان كوم والأخرون يحبسو هاد التخاريف لأنهم يسيوؤن للمغاربة","N","2016-10-01 11:03:57"
"93","لا أرى تغييرا مادامت هي نفسها الأحزاب ونفس البرامج السياسية...","N","2016-10-01 11:25:26"
"94","طرد بنكيران من مدينة ...مراكش......تازة........اسفي....هههههه انظر اليوتوب...ههههه","N","2016-10-01 11:37:13"
"95","غانصوتو لبنكيران غير كون هاني :)","P","2016-10-01 11:42:41"
"96","بنكيران ماعرفنا عنه الا صدقا","P","2016-10-01 11:58:31"
"97","عقلية اجرامية بامتياز باد الامن الأمان","N","2016-10-01 12:22:00"
"98","لي مع بنكيران ....ايجي حدايا ...😉","P","2016-10-01 12:28:49"
"99","والله واخا تبكيهم دم يا اكبر اناني ومتعنت ومتعجرف عرفته حكومة المغرب","N","2016-10-01 12:31:38"
"100","ههههههههه البام يمنع نفسه. يقلدون المصباح في كل شيئ","N","2016-10-01 12:38:04"
"101","العالم كلو ضدو. المغرب كلو ضدو .او هاد بنكيران ديالك بوحدو على صواب .المباقي لصوص او شفارا .عبدو او وجه الترمة","N","2016-10-01 12:41:24"
"102","الشعب ضد بنكيران نسيتها خاصو يقود","N","2016-10-01 12:55:29"
"103","القصر و العدالة و التنمية يحتجون بعضهما البعض لقمع أي ثورة","N","2016-10-01 13:11:56"
"104","أنا مواطن مغربي ضد حكومة بن كيران و ادعم الخط الثالث","N","2016-10-01 13:15:59"
"105","يدعوا لاغراق البلاد واش هدا يكون رئيس الحكومة حشومة وعيب والله حتى تكون شوهة كبيرة والمغرب يرجع 100عام الى وراء لاحولة ولاقوة الا بالله العلي العظيم","N","2016-10-01 13:38:52"
"106","امشيو البرلمان ومجلس المستشارين ويختارو كاين شي حمير تماك ع ناعسين يخدوهم فابور","N","2016-10-01 13:41:45"
"107","تشبث غريق بغريق..الدولة لم تحمي حتى ابناءها في الداخل فما بالك بأبناءها بالخارج .","N","2016-10-01 13:45:47"
"108","كيفما كان الحال بنكيران احسن من العمري ولشكر وشباط. ...","P","2016-10-01 13:46:47"
"109","كل نهار وحدا دولة لازم تتدخل تمنع مغربيات من العمل منزلي في دول الخليج غي توصل يحيدو ليها جواز سفر كتبقا فديهم بحال المونيكا لي فدرب عومار يديرو مبغاو","N","2016-10-01 13:48:24"
"110","و انت انتقمت منه بضرب قوته الشرائية و تجميد الاجور و الاجهاز على مكتسباته . و عفا الله عما سلف للفاسدين و رفضك التنازل عن التقاعد الوزاري ووو","N","2016-10-01 13:51:06"
"111","الشعب أعطى قلبه وروحه للبجدي وأما بن كيران أعطى قلبه وروحه لخادم الدولة بل للشفارة","N","2016-10-01 13:54:15"
"112","اي واحد ضد هاد ولاد لكلاب ديال البيجيدي تيقولو عليه شاد 200 درهم وهاد شي لاش كرهت والدين مكم يالمنافقين","N","2016-10-01 13:56:54"
"113","بنكيران متخافش الله راه معاك وحنا غادي نصوتو عليك لحقاش انت راجل او سيد رجال","P","2016-10-01 13:58:42"
"114","غير جالس و يبكي كيف المرا.. داخلنا عليكم بالله واش هذا عندو شخصية باش يترأس حكومة.. الله يلعنها حالة.. شوهتي راسك ا ًلولية","N","2016-10-01 14:07:39"
"115","نعم الشعب اعطى قلبه وثقته للبيجيدي لاكن البيجيدي عطاهم علاش ايقللبوا سرهم","N","2016-10-01 14:14:13"
"116","فهاد الوقت با الدات مكاين غير بنكيران وعنصوت على العدالة والتنمية","P","2016-10-01 14:26:58"
"117","الى الاخوان الذين ينعتوننا بالشفارة....هل كنا نتقلد مناصب رسمية في حكومة ما وقمنا بسرقة صناديقها...؟؟ نحن لم نتقلد اي منصب رسمي في حياتنا بعد","P","2016-10-01 14:36:26"
"118","وهل نسيت ما فعله بك الاتحاد الاشتراكي والاستقلال ؟؟؟؟مصوا دم المواطن بسر وقاموا ثروات البلاد بينهم","N","2016-10-01 14:43:53"
"119","ولماذا يجب على الشعب دفع الضريبة لماذا حنى نخلصو الفرق باش الدولة تربحح . الشعب كان خاصو يحس بثمن الفط اللي طاح فالاسواق العالمية مشي يعيش فالكوى","N","2016-10-01 14:46:17"
"120","لاتحزنو يا اخواني فقط هذه دموع تماسيح يدريفها بنكيران لكي يصل إلى فريسته ( حنان الشعب )","N","2016-10-01 14:51:53"
"121","بالتوفيق لبنكيران
الملك يريد الاصلاح
لكن لوبي الفساد.كان عائق للاصلاح
ولهذا فعلى بنكيران ان يتشجع ويحدو على خطى اردوغان
عاش الملك","P","2016-10-01 14:52:45"
"122","رأيك يحترم لكن أنا ﻻ اتفق معك.مادا سننتضر أدن من العدالة و التنمية إدا كانوا لا يحكمون؟ فليغادروا المشهد السياسي ادا كانوا صادقين مع الشعب.","N","2016-10-01 14:58:37"
"123","زيد عليهم ايها الامازيغ تذكروا ان بنكيران اهانكم حين احتقر السوسي مول الحانوت وضحك عليه .","N","2016-10-01 15:04:19"
"124","الى الملك اللي كيحكم علاش بنفيران متقل الدولة ب 40 وزير و زيادة والله ما عند بوهم علاش احشموا","N","2016-10-01 15:04:27"
"125","اسرائيل دولة متقدمة","P","2016-10-01 15:04:48"
"126","احسن حكومة بلا نفاق الله يهديكم","P","2016-10-01 15:11:24"
"127","مصر وتونس والجزاءر عندهم غدا وحنا يوم الاثنين بنكيران دار خدمتو هههه صافي غنصوت عليه ههه","P","2016-10-01 15:14:49"
"128","لا توجد حكومة أفضل من العدالة والتنمية  من الأفضل أن تزيد ولاية تانية","P","2016-10-01 15:16:00"
"129","سبحان الله من قلبي مكنحملوش. ماعرفتش علاش !!؟؟؟؟ من نهار دخل للحكومة .","N","2016-10-01 15:18:23"
"130","وفجاتنا المغرب كله سعيد ويهلل حزب العدالة والتنمية لان بنكيران اسعد المغاربة ب اعلانه ان فاتح محرم هو يوم الاثنين","P","2016-10-01 15:24:15"
"131","بنكيران الاحسن الى خرج من الحكومة عرف البلاد خلات ها فاش قولتها ليكم تولي بحال مصر","P","2016-10-01 15:25:17"
"132","بنكيران الف الكرسي وفتن بالسلطة وبكاؤه لن يفيده امام الله","N","2016-10-01 15:25:20"
"133","اقول لحكومة السعودية و اشرار الناس منهم اتقو الله في ذلك المقام والارض المباركة والا ستقوم الدنيا عليكم","N","2016-10-01 15:31:49"
"134","نود من الشمش اشمن مساندة منهار شفنا هاد بنكيران ماشفنا الربح ساندو اخويا بوحدك ماتقولهاش لينا حنا انا شخصياً والله مامصوتاش","N","2016-10-01 15:34:39"
"135","أرى فقط اصحاب العقول الراقية هي التي تقف وراء هذا الرجل .الله اغلبك عليهم السي بنكيران","P","2016-10-01 15:36:08"
"136","اكبر مسخوط هو ااياس العماري بالشهادة الابتدائية  اراد،حكم المغرب  لمدة خمس سنوات.وتنااااكت","N","2016-10-01 15:37:22"
"137","وخا تعترف قدام البرلمان 
الدولة لا تحارب هده الظاهرة وهاد المجرمين للي هلكوا العباد الله ينتقم منهم ياربي","N","2016-10-01 15:42:25"
"138","بنكيران رجل صالح","P","2016-10-01 15:44:55"
"139","هده مبادرة جيدة من الحكومة للاننا نحن الموظغين نتقاضى رواتب ضخمة","N","2016-10-01 15:51:05"
"140","ههههههه تا بنكيران كيتحكم فهدشي هههه شعب مكلخ","N","2016-10-01 15:53:22"
"141","هذشى كاين الاغلبية ديال الشعب  عارف الله  غالب","N","2016-10-01 16:06:54"
"142","لا للبام لا للبام لا للبام لا للبام لا للبام لا للبام لا للبام لا للبام لا للبام لا للبام لا للبام لا للبام لا للبام لا للبام لا للبام لا للبام","N","2016-10-01 16:11:39"
"143","ادا لم تحترم هادا اشخص فانت  لاتفقه شيء في اسياسة","N","2016-10-01 16:14:49"
"144","واش كضحك علينا كتهضر فحال إلى وصلنا الفضاء بحالنا بحالهم كاع سياسة وحدة","N","2016-10-01 16:15:31"
"145","بكل بساطة في ناس في الحكومة اشتاقو للسرقة من المال الشعب وبنكيران صدهم ولدالك هده فرصتهم كي ينتقمو","N","2016-10-01 16:17:11"
"146","الله يرحم من قراك راك فسرتي لينا دستور جزيرة الوقواق هاد الشي كاع مكان فروسنا إو دبا صوت انت أو خلينا في التيساع مافينا مايشهد الزوووووور.","N","2016-10-01 16:19:34"
"147","بنكيران منافق وكذاب حطم امال واحلام الفقراء ساصوت ضده ولا ادري بعد لمن ساصوت المهم لا لبنكيران","N","2016-10-01 16:24:23"
"148","ديما بنكيران وباااااع","P","2016-10-01 16:25:38"
"149","عبروا عليهم لو كان اداوا واجبهم المهنى على احسن وجه الحكومة ما فتحاش خيرية","N","2016-10-01 16:25:39"
"150","اذا كانت دموع محمود عباس حقيقية في جنازة بيريز فكذلك دموع بنكيران ههههههه","N","2016-10-01 16:25:55"
"151","شكون قال ليك الشعب مع بنكيران؟","N","2016-10-01 16:36:45"
"152","الشعب يرفض سياسة بنكيران اللاجتماعية","N","2016-10-01 16:38:06"
"153","فاحت بعدا فالتمثيل بقى لك غير السياسة و انتي سيري لعلي حدا باب داركوم.","N","2016-10-01 16:47:24"
"154","الحزب الدي يتحالف مع الشيطان. حزب المخزن تففففو اخخخخ متى كان في العارضة؟دائما في الحكومة ههه الله حتى اغبياء هاد المغاربة حشومة","N","2016-10-01 16:51:44"
"155","بنكيران سير بحالك الحكومة ماشي ديالك","N","2016-10-01 17:00:53"
"156","والله حتى عندو الحق بنكيران منصوتوش على الكدابين وفي نقدمتهم رئيس الحكومة الحالي الله يعطينا وجهك المنافق","N","2016-10-01 17:10:04"
"157","بغينا نبيلة منيب تواجه تحكم القصر في الساحة السياسية و الاقتصادية للبلد","P","2016-10-01 17:10:58"
"158","عاهرات المملكة المخربية في السعوديةهههه","N","2016-10-01 17:16:50"
"159","Lamhamdi Abdrahim بنكيران فاسد مثل مفسدين الدين سبقوه لم يصلح شيء
بل أفقر الفقير و أغنا غني","N","2016-10-01 17:17:22"
"160","الحمل تقيل  بعد من السياسة انت لست عمر","N","2016-10-01 17:18:58"
"161","عليها ملي جاو الناس دكوماناف ا ك ماريت عتاصمو قدام البرلمان عطيتيهوم الهراوة نتينةالمغاربة كاملين هرويتيهوم شي بالغلى شيبالهراوا","N","2016-10-01 17:39:31"
"162","انا واحد من الشعب ضد بن كيران يمشي يشوف القسم ديالو ويقري الوليدات احسن من السياسة بزاف عليه يخليها لاصحانها","N","2016-10-01 17:40:59"
"163","انا ما غاداش نصوت لا للاقتراع حيت فقدت الثقة في جميع الأحزاب السياسية","N","2016-10-01 17:42:38"
"164","نتفاهمو معاهم ف بنكيران ره يصلاح","P","2016-10-01 17:44:09"
"165","كوبي كولي محدودين فكريا","N","2016-10-01 17:46:09"
"166","هل سمعتم في أي مهرجان للبيجيدي استعمال الدين؟ 
البيجيدي لا يستعمل المال ولا يستعمل المآدب
الدسمة ولا تدعمه الداخلية ولا .....عكس أحزاب الكوكوت.","P","2016-10-01 18:07:49"
"167","ؤكيمشي. غير. العند. ناس. كبار.  ؤمكيعرفوش. اشنهيا.  اسياسة.","N","2016-10-01 18:15:00"
"168","أنا سوسي ما نصوت عليه "" شحال باش كيعيش السوسي كاع "" ... بنكيران أغيول بيمزكان .","N","2016-10-01 18:15:50"
"169","للإشارة يا آخي مصطفى : لإخراج دولة من مشكل ديون فمن العيب والعار آن يكون الحل على حساب جيوب الضعفاء من الشعب !","N","2016-10-01 18:19:49"
"170","أيتها الجاهلة الزنذيقة الدين لايباع ولا يشترى. انتم مرضكم الحق والكراهية والزندقة والإلحاد . تبا لكم ياحمير السياسة.","N","2016-10-01 18:25:25"
"171","ديما بنكيران العدالة والتنمية","P","2016-10-01 18:26:32"
"172","الحمير ديال المغرب نافعين في الجبال ماشي للبيع كاينين شي حمير في البرلمان غير ناعسين يدوهم فابور","N","2016-10-01 18:30:14"
"173","اكتساح للعدالة والتنمية.أتمنى أن تكون لهم أغلبية مريحة لتكوين حكومة قوية.","P","2016-10-01 18:30:42"
"174","لا حقيقة في السياسة، الكل يلعب دور الذئب","N","2016-10-01 18:35:41"
"175","لوكان بدا بالتقشف من راسو و وزرائه و البرلمانيين و ميزانية القصر.. كنا لنصدق هذا الكلام. نقطة الى السطر","N","2016-10-01 18:49:34"
"176","لي بغا بنكيران فولاية تانية اجي حداياا 
باانووو","P","2016-10-01 18:50:03"
"177","بن كيران رمز للاصلاح والديمقراطية ...لهده الاسباب ساصوت عليه تم اقتطاع من اجري 55 درهم فقط من اجل ضمان تقاعدي ....","P","2016-10-01 18:50:52"
"178","أنزه رجل على الساحة السياسية.معك ولاية تانية بن كيران","P","2016-10-01 18:51:52"
"179","قمة النفاق والنجاسة السياسية.غرق في الحرام ونسى المبادئ والاخلاق اللي لطالما تغنى بها","N","2016-10-01 19:12:19"
"180","جميع الأحزاب في المغرب مضرة وغير نافعة
ولكن العاقل يختار الأقل ضررا
إذن العدالة والتنمية أقل ضررا بكثير من البامجية","N","2016-10-01 19:16:10"
"181","إلياس العماري سينتصر","P","2016-10-01 19:21:20"
"182","لا البام ولا العدالة فيهم الخير الحزب الثالث هو الامل لا تفوتوا الفرصة صوتوا لى منيب","P","2016-10-01 19:24:03"
"183","عدد وزراء جمهورية الصين بلد المليار ونصف المليار 18 وزيراً، وحكومة سويسرا أغنى بلدان العالم مادياً 8 وزراء، و الحكومة الأسبانية ...","P","2016-10-01 19:24:38"
